,Unnamed: 0.1,Unnamed: 0,Date,DOW,DOW_6m,DOW_12m
981,981,981,2023-02-09,56.0539665222168,57.13557815551758,55.21903610229492
982,982,982,2023-02-10,56.75606155395508,56.8794059753418,54.92491912841797
983,983,983,2023-02-13,57.23045349121094,56.92684555053711,55.14313507080078
984,984,984,2023-02-14,56.69913482666016,57.012237548828125,55.94960403442383
985,985,985,2023-02-15,56.69913482666016,57.41072463989258,54.98184585571289
986,986,986,2023-02-16,55.6744499206543,56.746578216552734,56.31013488769531
987,987,987,2023-02-17,55.152626037597656,56.0539665222168,57.13557815551758
988,988,988,2023-02-21,53.9286994934082,56.75606155395508,56.8794059753418
989,989,989,2023-02-22,54.08998489379883,57.23045349121094,56.92684555053711
990,990,990,2023-02-23,54.26076889038086,56.69913482666016,57.012237548828125
991,991,991,2023-02-24,54.83004379272461,56.69913482666016,57.41072463989258
992,992,992,2023-02-27,54.7339973449707,55.6744499206543,56.746578216552734
993,993,993,2023-02-28,54.9356803894043,55.152626037597656,56.0539665222168
994,994,994,2023-03-01,55.72322463989258,53.9286994934082,56.75606155395508
