,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BKR,BKR_6m,BKR_12m,BKR_6m_ret,BKR_12m_ret
371,371,371,371,2020-07-27,14.725383758544922,13.769540786743164,13.210463523864746,0.069417200370401,0.11467578196203854
372,372,372,372,2020-07-28,14.31058406829834,13.571160316467283,13.571160316467283,0.05448493235569818,0.05448493235569818
373,373,373,373,2020-07-29,14.25648021697998,14.707348823547363,13.580177307128906,-0.030656008229403953,0.04980074225511388
374,374,374,374,2020-07-30,13.823644638061523,14.842609405517578,14.031045913696287,-0.06865132266279717,-0.014781597673507063
375,375,375,375,2020-07-31,13.967923164367676,15.050009727478027,14.067115783691406,-0.07189939293758052,-0.007051382874002421
376,376,376,376,2020-08-03,14.09416675567627,14.76145362854004,13.877750396728516,-0.04520468577522929,0.015594484175098788
377,377,377,377,2020-08-04,14.59914207458496,14.725383758544922,13.769540786743164,-0.008573065804597935,0.06024901633905655
378,378,378,378,2020-08-05,15.113129615783691,14.31058406829834,13.571160316467283,0.05608055853312077,0.11362103632696585
379,379,379,379,2020-08-06,15.122149467468262,14.25648021697998,14.707348823547363,0.060721106283810444,0.028203631320471434
380,380,380,380,2020-08-07,15.10391616821289,13.823644638061523,14.842609405517578,0.09261461529662829,0.01760517679581164
381,381,381,381,2020-08-10,15.732863426208496,13.967923164367676,15.050009727478027,0.1263566702846135,0.045372309459955185
382,382,382,382,2020-08-11,15.659945487976074,14.09416675567627,14.76145362854004,0.11109409725617203,0.06086743772299452
383,383,383,383,2020-08-12,15.97898006439209,14.59914207458496,14.725383758544922,0.09451500524878331,0.08513165608466577
384,384,384,384,2020-08-13,15.60525608062744,15.113129615783691,14.31058406829834,0.03256284286279043,0.09046954381108274
385,385,385,385,2020-08-14,15.705523490905762,15.122149467468262,14.25648021697998,0.038577453866098343,0.10164102582627077
386,386,386,386,2020-08-17,15.195068359375,15.10391616821289,13.823644638061523,0.006035003779612191,0.09920854862960304
387,387,387,387,2020-08-18,15.003649711608888,15.732863426208496,13.967923164367676,-0.04634971364366203,0.07415036115629281
388,388,388,388,2020-08-19,14.885151863098145,15.659945487976074,14.09416675567627,-0.04947613805379003,0.05612145230957433
389,389,389,389,2020-08-20,14.33824062347412,15.97898006439209,14.59914207458496,-0.10268111195496332,-0.01787101254155421
390,390,390,390,2020-08-21,14.083012580871582,15.60525608062744,15.113129615783691,-0.09754684523540691,-0.06816040496577802
391,391,391,391,2020-08-24,14.502314567565918,15.705523490905762,15.122149467468262,-0.07661055831959751,-0.040988544732729504
392,392,392,392,2020-08-25,14.2653169631958,15.195068359375,15.10391616821289,-0.06118770736596024,-0.05552197163156747
393,393,393,393,2020-08-26,13.718405723571776,15.003649711608888,15.732863426208496,-0.08566208974091627,-0.12804139005496917
394,394,394,394,2020-08-27,13.426717758178713,14.885151863098145,15.659945487976074,-0.09797912163295042,-0.14260763113843944
395,395,395,395,2020-08-28,13.490524291992188,14.33824062347412,15.97898006439209,-0.05912275806657041,-0.1557330794814139
396,396,396,396,2020-08-31,13.01653003692627,14.083012580871582,15.60525608062744,-0.07572829590409336,-0.16588808477900252
397,397,397,397,2020-09-01,12.651925086975098,14.502314567565918,15.705523490905762,-0.12759270059754269,-0.1944283108868572
398,398,398,398,2020-09-02,12.861573219299316,14.2653169631958,15.195068359375,-0.09840256248901524,-0.15356924265733707
399,399,399,399,2020-09-03,13.262643814086914,13.718405723571776,15.003649711608888,-0.033222658570430275,-0.11603882595145454
400,400,400,400,2020-09-04,13.244410514831545,13.426717758178713,14.885151863098145,-0.013577945602983865,-0.11022671205217394
401,401,401,401,2020-09-08,12.752190589904783,13.490524291992188,14.33824062347412,-0.054729800421890906,-0.11061678173908618
402,402,402,402,2020-09-09,12.870689392089844,13.01653003692627,14.083012580871582,-0.01120426445624867,-0.08608408050621152
403,403,403,403,2020-09-10,12.642809867858888,12.651925086975098,14.502314567565918,-0.0007204610407939294,-0.12822123606846647
404,404,404,404,2020-09-11,12.715731620788574,12.861573219299316,14.2653169631958,-0.011339328091831025,-0.10862607163970639
405,405,405,405,2020-09-14,13.335567474365234,13.262643814086914,13.718405723571776,0.005498425600547696,-0.02790690528628459
406,406,406,406,2020-09-15,13.408487319946287,13.244410514831545,13.426717758178713,0.012388381116019032,-0.0013577732518672558
407,407,407,407,2020-09-16,13.681941986083984,12.752190589904783,13.490524291992188,0.07290915153944089,0.014189047804866961
408,408,408,408,2020-09-17,13.846016883850098,12.870689392089844,13.01653003692627,0.07577896273059603,0.06372565073569358
