,Unnamed: 0.1,Unnamed: 0,Date,GEHC,GEHC_6m,GEHC_12m
226,226,226,2023-11-09,68.28311920166016,68.25313568115234,64.6445541381836
227,227,227,2023-11-10,69.49264526367188,69.2227554321289,64.484619140625
228,228,228,2023-11-13,69.98246002197266,71.54183959960938,63.88485336303711
229,229,229,2023-11-14,72.18158721923828,71.06202697753906,63.075172424316406
230,230,230,2023-11-15,71.49185943603516,70.67218017578125,63.145145416259766
231,231,231,2023-11-16,71.8917007446289,69.96246337890625,66.54380798339844
232,232,232,2023-11-17,72.97127532958984,68.28311920166016,68.25313568115234
233,233,233,2023-11-20,73.3011474609375,69.49264526367188,69.2227554321289
234,234,234,2023-11-21,73.35112762451172,69.98246002197266,71.54183959960938
235,235,235,2023-11-22,73.57103729248047,72.18158721923828,71.06202697753906
236,236,236,2023-11-24,73.68099975585938,71.49185943603516,70.67218017578125
237,237,237,2023-11-27,71.11200714111328,71.8917007446289,69.96246337890625
238,238,238,2023-11-28,68.10319519042969,72.97127532958984,68.28311920166016
239,239,239,2023-11-29,67.68335723876953,73.3011474609375,69.49264526367188
240,240,240,2023-11-30,68.43305969238281,73.35112762451172,69.98246002197266
241,241,241,2023-12-01,69.38269805908203,73.57103729248047,72.18158721923828
242,242,242,2023-12-04,69.34271240234375,73.68099975585938,71.49185943603516
243,243,243,2023-12-05,67.90327453613281,71.11200714111328,71.8917007446289
244,244,244,2023-12-06,68.02323150634766,68.10319519042969,72.97127532958984
245,245,245,2023-12-07,67.36348724365234,67.68335723876953,73.3011474609375
246,246,246,2023-12-08,68.49303436279297,68.43305969238281,73.35112762451172
247,247,247,2023-12-11,71.10201263427734,69.38269805908203,73.57103729248047
248,248,248,2023-12-12,72.02165222167969,69.34271240234375,73.68099975585938
249,249,249,2023-12-13,74.15081787109375,67.90327453613281,71.11200714111328
250,250,250,2023-12-14,75.89012908935547,68.02323150634766,68.10319519042969
251,251,251,2023-12-15,74.9804916381836,67.36348724365234,67.68335723876953
