,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MSCI,MSCI_6m,MSCI_12m,MSCI_6m_ret,MSCI_12m_ret
1107,1107,1107,1107,2023-06-29,459.6235656738281,472.1369323730469,471.66943359375,-0.026503681117095113,-0.0255387927687869
1108,1108,1108,1108,2023-06-30,466.8053588867188,464.7264099121094,477.44866943359375,0.004473490058382046,-0.02229205195922168
1109,1109,1109,1109,2023-07-03,470.316650390625,462.687255859375,483.6258239746094,0.01648931202368975,-0.02751956765791541
1110,1110,1110,1110,2023-07-05,470.8139953613281,460.79730224609375,484.9686279296875,0.021737742531063864,-0.02918669735150692
1111,1111,1111,1111,2023-07-06,466.9744262695313,462.6175842285156,475.2006530761719,0.009417804661016937,-0.017311059556397446
1112,1112,1112,1112,2023-07-07,469.2522888183594,460.866943359375,471.27154541015625,0.018194721013968795,-0.004284698729348224
1113,1113,1113,1113,2023-07-10,478.0852966308594,459.6235656738281,472.1369323730469,0.04016706786991131,0.012598811594583204
1114,1114,1114,1114,2023-07-11,484.0734252929688,466.8053588867188,464.7264099121094,0.036992005506176096,0.04163097893342971
1115,1115,1115,1115,2023-07-12,495.1146545410156,470.316650390625,462.687255859375,0.05272618804755158,0.070084918637777
1116,1116,1116,1116,2023-07-13,495.14447021484375,470.8139953613281,460.79730224609375,0.051677467308173686,0.07453856131823988
1117,1117,1117,1117,2023-07-14,494.5476684570313,466.9744262695313,462.6175842285156,0.059046578648367154,0.0690204724529957
1118,1118,1118,1118,2023-07-17,496.6067199707031,469.2522888183594,460.866943359375,0.05829365525573871,0.07754901306397
1119,1119,1119,1119,2023-07-18,500.167724609375,478.0852966308594,459.6235656738281,0.04618930582917713,0.08821166268119307
1120,1120,1120,1120,2023-07-19,505.2507019042969,484.0734252929688,466.8053588867188,0.043748066935323404,0.08235840117445559
1121,1121,1121,1121,2023-07-20,506.9616088867188,495.1146545410156,470.316650390625,0.023927698841161638,0.0779155032373573
1122,1122,1122,1122,2023-07-21,508.7122802734375,495.14447021484375,470.8139953613281,0.027401719850989492,0.08049523864095032
1123,1123,1123,1123,2023-07-24,500.0881958007813,494.5476684570313,466.9744262695313,0.011203222049426032,0.07091131262964967
1124,1124,1124,1124,2023-07-25,545.297607421875,496.6067199707031,469.2522888183594,0.09804717796417317,0.16205636161095338
1125,1125,1125,1125,2023-07-26,554.2996215820312,500.167724609375,478.0852966308594,0.10822748911864033,0.1594157475418423
1126,1126,1126,1126,2023-07-27,550.6689453125,505.2507019042969,484.0734252929688,0.08989248948496487,0.1375731790672594
1127,1127,1127,1127,2023-07-28,547.3665161132812,506.9616088867188,495.1146545410156,0.0797001321565376,0.10553487175754173
1128,1128,1128,1128,2023-07-31,545.1781616210938,508.7122802734375,495.14447021484375,0.07168272275254584,0.10104867249055682
1129,1129,1129,1129,2023-08-01,543.0494995117188,500.0881958007813,494.5476684570313,0.08590745406846567,0.09807311640152139
1130,1130,1130,1130,2023-08-02,542.3631591796875,545.297607421875,496.6067199707031,-0.005381370103678562,0.09213817970824834
1131,1131,1131,1131,2023-08-03,540.9009399414062,554.2996215820312,500.167724609375,-0.024172272754550472,0.08143911197757392
1132,1132,1132,1132,2023-08-04,539.3889770507812,550.6689453125,505.2507019042969,-0.020484119102299192,0.06756700192165344
1133,1133,1133,1133,2023-08-07,548.580078125,547.3665161132812,506.9616088867188,0.002217092160360812,0.08209392685508243
1134,1134,1134,1134,2023-08-08,545.1682739257812,545.1781616210938,508.7122802734375,-1.8136631304344064e-05,0.0716632860381281
1135,1135,1135,1135,2023-08-09,543.30810546875,543.0494995117188,500.0881958007813,0.0004762106534741406,0.08642457476678
1136,1136,1136,1136,2023-08-10,545.3424682617188,542.3631591796875,545.297607421875,0.00549319958703931,8.226854332971101e-05
1137,1137,1137,1137,2023-08-11,547.466552734375,540.9009399414062,554.2996215820312,0.012138290596573897,-0.012327392229050993
1138,1138,1138,1138,2023-08-14,545.7612915039062,539.3889770507812,550.6689453125,0.011813950088425784,-0.00891216737455336
1139,1139,1139,1139,2023-08-15,532.338623046875,548.580078125,547.3665161132812,-0.029606352337177344,-0.02745490018848018
1140,1140,1140,1140,2023-08-16,528.1602783203125,545.1682739257812,545.1781616210938,-0.0311976988003968,-0.03121526961054044
1141,1141,1141,1141,2023-08-17,519.304931640625,543.30810546875,543.0494995117188,-0.0441796718777383,-0.043724500054679316
1142,1142,1142,1142,2023-08-18,518.7265014648438,545.3424682617188,542.3631591796875,-0.048805967526632354,-0.04358086886025536
1143,1143,1143,1143,2023-08-21,523.2838134765625,547.466552734375,540.9009399414062,-0.04417208528453376,-0.032569968295400153
1144,1144,1144,1144,2023-08-22,526.4450073242188,545.7612915039062,539.3889770507812,-0.03539328362123173,-0.023997468018972623
1145,1145,1145,1145,2023-08-23,534.3629760742188,532.338623046875,548.580078125,0.00380275437419364,-0.025916183648837743
1146,1146,1146,1146,2023-08-24,530.982421875,528.1602783203125,545.1682739257812,0.005343346840967822,-0.026021052084759577
1147,1147,1147,1147,2023-08-25,529.6760864257812,519.304931640625,543.30810546875,0.019971223366569868,-0.025090770606500445
1148,1148,1148,1148,2023-08-28,530.6732788085938,518.7265014648438,545.3424682617188,0.023030975494819028,-0.02689904107392016
1149,1149,1149,1149,2023-08-29,537.1153564453125,523.2838134765625,547.466552734375,0.02643220105903299,-0.01890744966493829
1150,1150,1150,1150,2023-08-30,542.6200561523438,526.4450073242188,545.7612915039062,0.030725049346252753,-0.005755694660767308
1151,1151,1151,1151,2023-08-31,542.1114501953125,534.3629760742188,532.338623046875,0.014500394802834382,0.01835829061679206
1152,1152,1152,1152,2023-09-01,539.8876342773438,530.982421875,528.1602783203125,0.016771200016184595,0.02220416119577817
1153,1153,1153,1153,2023-09-05,539.6582641601562,529.6760864257812,519.304931640625,0.0188458153769675,0.03919341273195598
1154,1154,1154,1154,2023-09-06,540.33642578125,530.6732788085938,518.7265014648438,0.018209220924691794,0.0416595725404072
1155,1155,1155,1155,2023-09-07,544.9734497070312,537.1153564453125,523.2838134765625,0.01463017798210875,0.04144908684709425
1156,1156,1156,1156,2023-09-08,532.3087158203125,542.6200561523438,526.4450073242188,-0.019002873585520885,0.01113831153209599
1157,1157,1157,1157,2023-09-11,534.672119140625,542.1114501953125,534.3629760742188,-0.013722881248878327,0.0005785263580149191
1158,1158,1158,1158,2023-09-12,524.5103759765625,539.8876342773438,530.982421875,-0.028482330997197547,-0.01218881385109416
1159,1159,1159,1159,2023-09-13,533.7646484375,539.6582641601562,529.6760864257812,-0.010921014490212988,0.007718985463942785
1160,1160,1160,1160,2023-09-14,537.1951293945312,540.33642578125,530.6732788085938,-0.005813593599907518,0.012289766314557138
1161,1161,1161,1161,2023-09-15,528.6090087890625,544.9734497070312,537.1153564453125,-0.030027959943307314,-0.015837096359608727
1162,1162,1162,1162,2023-09-18,531.6107177734375,532.3087158203125,542.6200561523438,-0.0013112654858550288,-0.020289221259111256
1163,1163,1163,1163,2023-09-19,536.556884765625,534.672119140625,542.1114501953125,0.003525086791563714,-0.010246168804747269
1164,1164,1164,1164,2023-09-20,533.5552368164062,524.5103759765625,539.8876342773438,0.0172443887749667,-0.011729102611163889
1165,1165,1165,1165,2023-09-21,513.9896850585938,533.7646484375,539.6582641601562,-0.037048094954946764,-0.047564506663321904
1166,1166,1166,1166,2023-09-22,511.7359619140625,537.1951293945312,540.33642578125,-0.04739277422184296,-0.05293084549285254
1167,1167,1167,1167,2023-09-25,515.4656372070312,528.6090087890625,544.9734497070312,-0.02486407034972804,-0.054145412984546115
1168,1168,1168,1168,2023-09-26,514.827392578125,531.6107177734375,532.3087158203125,-0.03157070509339366,-0.03284057300329557
1169,1169,1169,1169,2023-09-27,510.5193481445313,536.556884765625,534.672119140625,-0.0485270758057037,-0.04517305116809589
1170,1170,1170,1170,2023-09-28,520.0528564453125,533.5552368164062,524.5103759765625,-0.025306433972345888,-0.008498439183306394
