,Unnamed: 0.1,Unnamed: 0,Date,XEL,XEL_6m,XEL_12m
676,676,676,2021-10-11,58.33695983886719,58.3836784362793,58.76673889160156
677,677,677,2021-10-12,58.86016845703125,59.70102310180664,59.15913391113281
678,678,678,2021-10-13,60.1588249206543,59.14044570922852,58.15945053100586
679,679,679,2021-10-14,61.13048553466797,60.10276794433594,57.38398742675781
680,680,680,2021-10-15,61.59762954711914,59.76642608642578,58.551849365234375
681,681,681,2021-10-18,60.42977142333984,59.047019958496094,58.39302444458008
682,682,682,2021-10-19,60.66334533691406,58.33695983886719,58.3836784362793
683,683,683,2021-10-20,61.26128387451172,58.86016845703125,59.70102310180664
684,684,684,2021-10-21,61.29865646362305,60.1588249206543,59.14044570922852
685,685,685,2021-10-22,61.24261093139648,61.13048553466797,60.10276794433594
686,686,686,2021-10-25,60.41108322143555,61.59762954711914,59.76642608642578
687,687,687,2021-10-26,60.2429084777832,60.42977142333984,59.047019958496094
688,688,688,2021-10-27,59.22453308105469,60.66334533691406,58.33695983886719
689,689,689,2021-10-28,60.10276794433594,61.26128387451172,58.86016845703125
690,690,690,2021-10-29,60.34567642211914,61.29865646362305,60.1588249206543
691,691,691,2021-11-01,60.2615966796875,61.24261093139648,61.13048553466797
692,692,692,2021-11-02,60.45779800415039,60.41108322143555,61.59762954711914
693,693,693,2021-11-03,59.32730484008789,60.2429084777832,60.42977142333984
694,694,694,2021-11-04,58.925567626953125,59.22453308105469,60.66334533691406
695,695,695,2021-11-05,59.60759353637695,60.10276794433594,61.26128387451172
696,696,696,2021-11-08,58.61724853515625,60.34567642211914,61.29865646362305
697,697,697,2021-11-09,59.42073822021485,60.2615966796875,61.24261093139648
698,698,698,2021-11-10,60.1588249206543,60.45779800415039,60.41108322143555
699,699,699,2021-11-11,59.32730484008789,59.32730484008789,60.2429084777832
700,700,700,2021-11-12,58.98162078857422,58.925567626953125,59.22453308105469
701,701,701,2021-11-15,60.084083557128906,59.60759353637695,60.10276794433594
702,702,702,2021-11-16,59.89722442626953,58.61724853515625,60.34567642211914
703,703,703,2021-11-17,60.700714111328125,59.42073822021485,60.2615966796875
704,704,704,2021-11-18,60.10276794433594,60.1588249206543,60.45779800415039
705,705,705,2021-11-19,60.82217025756836,59.32730484008789,59.32730484008789
706,706,706,2021-11-22,61.95265579223633,58.98162078857422,58.925567626953125
707,707,707,2021-11-23,61.5135498046875,60.084083557128906,59.60759353637695
708,708,708,2021-11-24,61.24261093139648,59.89722442626953,58.61724853515625
709,709,709,2021-11-26,60.504512786865234,60.700714111328125,59.42073822021485
710,710,710,2021-11-29,61.27997589111328,60.10276794433594,60.1588249206543
711,711,711,2021-11-30,59.54220199584961,60.82217025756836,59.32730484008789
712,712,712,2021-12-01,59.99065399169922,61.95265579223633,58.98162078857422
713,713,713,2021-12-02,60.4017448425293,61.5135498046875,60.084083557128906
714,714,714,2021-12-03,60.8875617980957,61.24261093139648,59.89722442626953
