,Unnamed: 0.1,Unnamed: 0,Date,INTC,INTC_6m,INTC_12m
638,638,638,2021-08-17,49.18067169189453,50.45009613037109,49.8183479309082
639,639,639,2021-08-18,48.71397018432617,50.347415924072266,49.78124237060547
640,640,640,2021-08-19,48.94732284545898,50.53410339355469,50.13364791870117
641,641,641,2021-08-20,48.54595947265625,49.974063873291016,49.98527526855469
642,642,642,2021-08-23,49.68471145629883,49.92739868164063,50.30075073242188
643,643,643,2021-08-24,50.22607803344727,49.90873336791992,50.32875442504883
644,644,644,2021-08-25,50.22607803344727,49.18067169189453,50.45009613037109
645,645,645,2021-08-26,49.59137725830078,48.71397018432617,50.347415924072266
646,646,646,2021-08-27,50.30075073242188,48.94732284545898,50.53410339355469
647,647,647,2021-08-30,50.347415924072266,48.54595947265625,49.974063873291016
648,648,648,2021-08-31,50.45943069458008,49.68471145629883,49.92739868164063
649,649,649,2021-09-01,50.09540557861328,50.22607803344727,49.90873336791992
650,650,650,2021-09-02,50.15140914916992,50.22607803344727,49.18067169189453
651,651,651,2021-09-03,49.9460563659668,49.59137725830078,48.71397018432617
652,652,652,2021-09-07,50.07674026489258,50.30075073242188,48.94732284545898
653,653,653,2021-09-08,50.00206756591797,50.347415924072266,48.54595947265625
654,654,654,2021-09-09,49.843387603759766,50.45943069458008,49.68471145629883
655,655,655,2021-09-10,50.25408554077149,50.09540557861328,50.22607803344727
656,656,656,2021-09-13,51.32749176025391,50.15140914916992,50.22607803344727
657,657,657,2021-09-14,50.8887939453125,49.9460563659668,49.59137725830078
658,658,658,2021-09-15,51.448829650878906,50.07674026489258,50.30075073242188
659,659,659,2021-09-16,51.17814254760742,50.00206756591797,50.347415924072266
660,660,660,2021-09-17,50.6461067199707,49.843387603759766,50.45943069458008
661,661,661,2021-09-20,49.45136642456055,50.25408554077149,50.09540557861328
662,662,662,2021-09-21,49.34868240356445,51.32749176025391,50.15140914916992
663,663,663,2021-09-22,49.93672943115234,50.8887939453125,49.9460563659668
664,664,664,2021-09-23,50.43143081665039,51.448829650878906,50.07674026489258
665,665,665,2021-09-24,50.60877227783203,51.17814254760742,50.00206756591797
666,666,666,2021-09-27,51.01946640014648,50.6461067199707,49.843387603759766
667,667,667,2021-09-28,50.40342330932617,49.45136642456055,50.25408554077149
668,668,668,2021-09-29,49.92739868164063,49.34868240356445,51.32749176025391
669,669,669,2021-09-30,49.73138046264648,49.93672943115234,50.8887939453125
670,670,670,2021-10-01,50.27275848388672,50.43143081665039,51.448829650878906
671,671,671,2021-10-04,49.90873336791992,50.60877227783203,51.17814254760742
672,672,672,2021-10-05,50.35675430297852,51.01946640014648,50.6461067199707
673,673,673,2021-10-06,50.3847541809082,50.40342330932617,49.45136642456055
674,674,674,2021-10-07,50.57144165039063,49.92739868164063,49.34868240356445
675,675,675,2021-10-08,50.22607803344727,49.73138046264648,49.93672943115234
676,676,676,2021-10-11,49.88072204589844,50.27275848388672,50.43143081665039
677,677,677,2021-10-12,48.695308685302734,49.90873336791992,50.60877227783203
678,678,678,2021-10-13,48.77931213378906,50.35675430297852,51.01946640014648
679,679,679,2021-10-14,50.31009292602539,50.3847541809082,50.40342330932617
