,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,APH,APH_6m,APH_12m,APH_6m_ret,APH_12m_ret
215,215,215,215,2019-12-11,50.74700546264648,48.7588996887207,48.73973846435547,0.0407742132537432,0.041183376471315425
216,216,216,216,2019-12-12,51.74823760986328,49.33856201171875,49.4631233215332,0.04883959928893322,0.04619834201483353
217,217,217,217,2019-12-13,51.3266716003418,49.33378219604492,49.357723236083984,0.04039603929772584,0.03989139358880256
218,218,218,218,2019-12-16,51.75883483886719,49.836795806884766,49.71223068237305,0.03856666547003207,0.04116902678478729
219,219,219,219,2019-12-17,51.33147048950195,50.04278564453125,49.82241439819336,0.02575166087125158,0.030288698561411254
220,220,220,220,2019-12-18,51.00495529174805,50.35896682739258,49.19963455200195,0.012827675090508084,0.036693783524711865
221,221,221,221,2019-12-19,51.40349578857422,50.74700546264648,48.7588996887207,0.012936533297732478,0.0542382235189216
222,222,222,222,2019-12-20,51.4515266418457,51.74823760986328,49.33856201171875,-0.00573374054309872,0.04282582515528288
223,223,223,223,2019-12-23,51.504337310791016,51.3266716003418,49.33378219604492,0.0034614695422414687,0.04399733849962373
224,224,224,224,2019-12-24,51.48993682861328,51.75883483886719,49.836795806884766,-0.005195209882352003,0.03317109366610094
225,225,225,225,2019-12-26,51.85486602783203,51.33147048950195,50.04278564453125,0.010196386998831741,0.03621062177018941
226,226,226,226,2019-12-27,51.888484954833984,51.00495529174805,50.35896682739258,0.017322427949052255,0.030372309517069596
227,227,227,227,2019-12-30,51.9941291809082,51.40349578857422,50.74700546264648,0.011490140568713336,0.024575316452508655
228,228,228,228,2019-12-31,51.97011947631836,51.4515266418457,51.74823760986328,0.010079250671852336,0.004287718320532541
229,229,229,229,2020-01-02,52.45029830932617,51.504337310791016,51.3266716003418,0.018366627898287025,0.021891672963592068
230,230,230,230,2020-01-03,51.90288543701172,51.48993682861328,51.75883483886719,0.008019986697069603,0.002783111300572738
231,231,231,231,2020-01-06,51.63399505615234,51.85486602783203,51.33147048950195,-0.004259406852216041,0.005893549585965108
232,232,232,232,2020-01-07,51.91249465942383,51.888484954833984,51.00495529174805,0.0004627173950202401,0.017793160732808344
233,233,233,233,2020-01-08,52.0373420715332,51.9941291809082,51.40349578857422,0.0008311109601364386,0.012330801110610023
234,234,234,234,2020-01-09,52.21980667114258,51.97011947631836,51.4515266418457,0.004804437575672615,0.01493211337818745
235,235,235,235,2020-01-10,52.01333618164063,52.45029830932617,51.504337310791016,-0.00833097507107683,0.009882640908049689
236,236,236,236,2020-01-13,52.392677307128906,51.90288543701172,51.48993682861328,0.009436698287450529,0.017532367179249775
237,237,237,237,2020-01-14,52.5799446105957,51.63399505615234,51.85486602783203,0.018320285955302218,0.01398284555155338
238,238,238,238,2020-01-15,52.20059585571289,51.91249465942383,51.888484954833984,0.005549746707014913,0.006015032066374326
239,239,239,239,2020-01-16,52.719200134277344,52.0373420715332,51.9941291809082,0.013103245392641849,0.013945246603637385
240,240,240,240,2020-01-17,52.55593490600586,52.21980667114258,51.97011947631836,0.0064367958498978695,0.011272158609418659
