,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SWKS,SWKS_6m,SWKS_12m,SWKS_6m_ret,SWKS_12m_ret
226,226,226,226,2019-12-27,113.4950180053711,107.53672790527344,96.8823471069336,0.05540702433633804,0.17147263040707839
227,227,227,227,2019-12-30,112.3256378173828,109.37433624267578,101.42994689941406,0.02698349243609366,0.1074208480930563
228,228,228,228,2019-12-31,112.18639373779295,110.3488311767578,103.4717254638672,0.01665230652141414,0.08422270175603619
229,229,229,229,2020-01-02,112.91958618164062,111.39753723144533,103.81513214111328,0.01366321902640455,0.08769871841180032
230,230,230,230,2020-01-03,110.1167984008789,113.37435913085938,105.0216293334961,-0.0287327818649058,0.048515425819600555
231,231,231,231,2020-01-06,108.1771011352539,113.48574829101562,104.96593475341795,-0.046778095361794336,0.030592462110488494
232,232,232,232,2020-01-07,109.207275390625,113.4950180053711,107.53672790527344,-0.03777912625682989,0.015534669111590516
233,233,233,233,2020-01-08,110.9427719116211,112.3256378173828,109.37433624267578,-0.01231122237658644,0.014340070283629602
234,234,234,234,2020-01-09,111.0448760986328,112.18639373779295,110.3488311767578,-0.010175187927229046,0.006307678245907944
235,235,235,235,2020-01-10,111.4439468383789,112.91958618164062,111.39753723144533,-0.013068054826981257,0.0004166125040732105
236,236,236,236,2020-01-13,115.55535125732422,110.1167984008789,113.37435913085938,0.049388948238817454,0.01923708449762862
237,237,237,237,2020-01-14,114.4695053100586,108.1771011352539,113.48574829101562,0.0581676168872125,0.00866855119569987
238,238,238,238,2020-01-15,111.7594985961914,109.207275390625,113.4950180053711,0.023370450333435322,-0.015291591117220227
