,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DE,DE_6m,DE_12m,DE_6m_ret,DE_12m_ret
462,462,462,462,2020-12-03,242.8748321533203,251.36219787597656,249.0457000732422,-0.03376548182015804,-0.024778054461920385
463,463,463,463,2020-12-04,243.5572662353516,246.4792938232422,248.1902313232422,-0.011855063127477417,-0.01866699210194389
464,464,464,464,2020-12-07,242.23081970214844,251.78512573242188,247.3443603515625,-0.037946268678424766,-0.020673770940829006
465,465,465,465,2020-12-08,242.7979278564453,251.46792602539065,245.6719207763672,-0.03447755069992475,-0.011698499815687269
466,466,466,466,2020-12-09,244.94140625,245.2297515869141,248.5266571044922,-0.0011758171063999123,-0.014426021322070048
467,467,467,467,2020-12-10,243.61495971679688,248.94960021972656,250.9777069091797,-0.02142859638344974,-0.029336259714282664
468,468,468,468,2020-12-11,245.84490966796875,242.8748321533203,251.36219787597656,0.012228840215002146,-0.02194955428711709
469,469,469,469,2020-12-14,242.91329956054688,243.5572662353516,246.4792938232422,-0.0026440051851396307,-0.01446772346423797
470,470,470,470,2020-12-15,251.8235626220703,242.23081970214844,251.78512573242188,0.03960166147196831,0.00015265750721615845
471,471,471,471,2020-12-16,250.9873046875,242.7979278564453,251.46792602539065,0.03372918749082854,-0.0019112629808786252
472,472,472,472,2020-12-17,254.2649841308593,244.94140625,245.2297515869141,0.03806452336336785,0.03684394933925028
473,473,473,473,2020-12-18,260.1955261230469,243.61495971679688,248.94960021972656,0.06806054285633745,0.04517350457038094
474,474,474,474,2020-12-21,257.3600158691406,245.84490966796875,242.8748321533203,0.04683890431867743,0.059640530010438564
475,475,475,475,2020-12-22,258.8114318847656,242.91329956054688,243.5572662353516,0.06544776409105624,0.06263071467830406
476,476,476,476,2020-12-23,257.5426330566406,251.8235626220703,242.23081970214844,0.022710624752590558,0.0632116646978278
477,477,477,477,2020-12-24,258.76336669921875,250.9873046875,242.7979278564453,0.030981893771083735,0.06575607536573802
478,478,478,478,2020-12-28,257.1197509765625,254.2649841308593,244.94140625,0.011227526493518214,0.0497194203014113
479,479,479,479,2020-12-29,255.0435791015625,260.1955261230469,243.61495971679688,-0.019800290567056122,0.04691263376457444
480,480,480,480,2020-12-30,256.55694580078125,257.3600158691406,245.84490966796875,-0.00312041505611238,0.04357233244031722
481,481,481,481,2020-12-31,259.3524169921875,258.8114318847656,242.91329956054688,0.002090267433251247,0.06767483485416625
482,482,482,482,2021-01-04,257.9932556152344,257.5426330566406,251.8235626220703,0.0017497008291231797,0.024500062380673038
483,483,483,483,2021-01-05,264.3939514160156,258.76336669921875,250.9873046875,0.021759589808327595,0.053415636879355466
484,484,484,484,2021-01-06,279.89434814453125,257.1197509765625,254.2649841308593,0.08857583706218186,0.10079785111300121
485,485,485,485,2021-01-07,288.9266357421875,255.0435791015625,260.1955261230469,0.13285202772006355,0.11042122840172763
486,486,486,486,2021-01-08,283.3163757324219,256.55694580078125,257.3600158691406,0.10430210668480422,0.1008562257646084
