,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,META,META_6m,META_12m,META_6m_ret,META_12m_ret
711,711,711,711,2021-11-30,324.4599914550781,345.29998779296875,327.739990234375,-0.06035330748515877,-0.010007929691311923
712,712,712,712,2021-12-01,310.6000061035156,341.010009765625,340.8900146484375,-0.08917627867583733,-0.08885566383092858
713,713,713,713,2021-12-02,310.3900146484375,337.25,347.5599975585937,-0.07964413743977017,-0.10694551493628046
714,714,714,714,2021-12-03,306.8399963378906,341.0599975585937,342.9599914550781,-0.10033425633513093,-0.10531839286542144
715,715,715,715,2021-12-06,317.8699951171875,333.1199951171875,340.7699890136719,-0.04577929942222547,-0.06720073549541838
716,716,716,716,2021-12-07,322.8099975585937,338.0299987792969,338.69000244140625,-0.04502559321854882,-0.046886547486915564
717,717,717,717,2021-12-08,330.5599975585937,324.4599914550781,345.29998779296875,0.018800487777119734,-0.04268749132772254
718,718,718,718,2021-12-09,329.82000732421875,310.6000061035156,341.010009765625,0.061880234523554956,-0.032814293190681076
719,719,719,719,2021-12-10,329.75,310.3900146484375,337.25,0.062373093327407814,-0.022238695329873992
720,720,720,720,2021-12-13,334.489990234375,306.8399963378906,341.0599975585937,0.09011209173016788,-0.019263494315512553
721,721,721,721,2021-12-14,333.739990234375,317.8699951171875,333.1199951171875,0.04992605581202092,0.0018611765318061746
722,722,722,722,2021-12-15,341.6600036621094,322.8099975585937,338.0299987792969,0.05839350158321599,0.010738706315774449
723,723,723,723,2021-12-16,334.8999938964844,330.5599975585937,324.4599914550781,0.013129224255640226,0.03217654785290125
724,724,724,724,2021-12-17,333.7900085449219,329.82000732421875,310.6000061035156,0.012036872028811096,0.0746619510164388
725,725,725,725,2021-12-20,325.45001220703125,329.75,310.3900146484375,-0.013040144936978804,0.04851959421327212
726,726,726,726,2021-12-21,334.20001220703125,334.489990234375,306.8399963378906,-0.0008669258746444308,0.08916704535158426
727,727,727,727,2021-12-22,330.45001220703125,333.739990234375,317.8699951171875,-0.00985790772341455,0.03957598163741727
728,728,728,728,2021-12-23,335.239990234375,341.6600036621094,322.8099975585937,-0.018790649648542268,0.038505600104671966
729,729,729,729,2021-12-27,346.17999267578125,334.8999938964844,330.5599975585937,0.03368169299753254,0.04725313175384693
730,730,730,730,2021-12-28,346.2200012207031,333.7900085449219,329.82000732421875,0.03723895969794566,0.04972407231912679
731,731,731,731,2021-12-29,342.94000244140625,325.45001220703125,329.75,0.053740942013696946,0.0400000074038096
732,732,732,732,2021-12-30,344.3599853515625,334.20001220703125,334.489990234375,0.030400876042569802,0.029507594861872155
733,733,733,733,2021-12-31,336.3500061035156,330.45001220703125,333.739990234375,0.017854421784036623,0.007820506818219997
