,Unnamed: 0.1,Unnamed: 0,Date,AMT,AMT_6m,AMT_12m
558,558,558,2021-04-23,235.96408081054688,229.5736083984375,226.12548828125
559,559,559,2021-04-26,234.98880004882807,230.92971801757807,222.79885864257807
560,560,560,2021-04-27,234.5243682861328,230.85543823242188,222.1335601806641
561,561,561,2021-04-28,234.02276611328125,234.69155883789065,224.3163299560547
562,562,562,2021-04-29,232.5923767089844,234.2364196777344,225.71890258789065
563,563,563,2021-04-30,236.64212036132807,233.6419677734375,224.48355102539065
564,564,564,2021-05-03,234.45933532714844,235.96408081054688,229.5736083984375
565,565,565,2021-05-04,231.17124938964844,234.98880004882807,230.92971801757807
566,566,566,2021-05-05,230.91116333007807,234.5243682861328,230.85543823242188
567,567,567,2021-05-06,226.6570281982422,234.02276611328125,234.69155883789065
568,568,568,2021-05-07,229.880126953125,232.5923767089844,234.2364196777344
569,569,569,2021-05-10,230.92971801757807,236.64212036132807,233.6419677734375
570,570,570,2021-05-11,229.7222442626953,234.45933532714844,235.96408081054688
571,571,571,2021-05-12,224.7436065673828,231.17124938964844,234.98880004882807
572,572,572,2021-05-13,226.6384429931641,230.91116333007807,234.5243682861328
573,573,573,2021-05-14,229.2020721435547,226.6570281982422,234.02276611328125
574,574,574,2021-05-17,228.3939666748047,229.880126953125,232.5923767089844
575,575,575,2021-05-18,228.8212432861328,230.92971801757807,236.64212036132807
576,576,576,2021-05-19,228.53330993652344,229.7222442626953,234.45933532714844
577,577,577,2021-05-20,232.9731903076172,224.7436065673828,231.17124938964844
578,578,578,2021-05-21,232.16506958007807,226.6384429931641,230.91116333007807
579,579,579,2021-05-24,234.79373168945312,229.2020721435547,226.6570281982422
580,580,580,2021-05-25,235.3417358398437,228.3939666748047,229.880126953125
581,581,581,2021-05-26,236.35418701171875,228.8212432861328,230.92971801757807
582,582,582,2021-05-27,236.0290679931641,228.53330993652344,229.7222442626953
583,583,583,2021-05-28,237.28306579589844,232.9731903076172,224.7436065673828
584,584,584,2021-06-01,240.1717529296875,232.16506958007807,226.6384429931641
585,585,585,2021-06-02,244.22152709960932,234.79373168945312,229.2020721435547
586,586,586,2021-06-03,244.61163330078125,235.3417358398437,228.3939666748047
587,587,587,2021-06-04,246.40426635742188,236.35418701171875,228.8212432861328
588,588,588,2021-06-07,249.5159454345703,236.0290679931641,228.53330993652344
589,589,589,2021-06-08,247.09164428710932,237.28306579589844,232.9731903076172
590,590,590,2021-06-09,248.01119995117188,240.1717529296875,232.16506958007807
591,591,591,2021-06-10,251.55015563964844,244.22152709960932,234.79373168945312
592,592,592,2021-06-11,249.2558441162109,244.61163330078125,235.3417358398437
593,593,593,2021-06-14,251.66151428222656,246.40426635742188,236.35418701171875
594,594,594,2021-06-15,251.2250061035156,249.5159454345703,236.0290679931641
595,595,595,2021-06-16,247.5653686523437,247.09164428710932,237.28306579589844
596,596,596,2021-06-17,251.53184509277344,248.01119995117188,240.1717529296875
597,597,597,2021-06-18,248.1999664306641,251.55015563964844,244.22152709960932
598,598,598,2021-06-21,249.8799285888672,249.2558441162109,244.61163330078125
599,599,599,2021-06-22,248.8252868652344,251.66151428222656,246.40426635742188
600,600,600,2021-06-23,246.5947265625,251.2250061035156,249.5159454345703
601,601,601,2021-06-24,246.5293884277344,247.5653686523437,247.09164428710932
602,602,602,2021-06-25,248.7599639892578,251.53184509277344,248.01119995117188
603,603,603,2021-06-28,253.6597595214844,248.1999664306641,251.55015563964844
604,604,604,2021-06-29,254.59304809570312,249.8799285888672,249.2558441162109
605,605,605,2021-06-30,252.1198272705078,248.8252868652344,251.66151428222656
606,606,606,2021-07-01,252.29714965820312,246.5947265625,251.2250061035156
607,607,607,2021-07-02,254.667709350586,246.5293884277344,247.5653686523437
608,608,608,2021-07-06,257.3369140625,248.7599639892578,251.53184509277344
609,609,609,2021-07-07,259.6141662597656,253.6597595214844,248.1999664306641
610,610,610,2021-07-08,259.3807983398437,254.59304809570312,249.8799285888672
611,611,611,2021-07-09,259.8755187988281,252.1198272705078,248.8252868652344
612,612,612,2021-07-12,261.312744140625,252.29714965820312,246.5947265625
613,613,613,2021-07-13,259.9501342773437,254.667709350586,246.5293884277344
614,614,614,2021-07-14,262.6007385253906,257.3369140625,248.7599639892578
