,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BK,BK_6m,BK_12m,BK_6m_ret,BK_12m_ret
453,453,453,453,2020-11-19,34.77756881713867,34.876949310302734,32.518699645996094,-0.0028494606073445894,0.069463699217158
454,454,454,454,2020-11-20,34.22639846801758,34.09086990356445,31.35312271118164,0.003975509127121191,0.09164241097462433
455,455,455,455,2020-11-23,34.8317756652832,34.976348876953125,32.16630935668945,-0.004133456358710541,0.08286515804584926
456,456,456,456,2020-11-24,36.76536560058594,35.8798942565918,31.68743133544922,0.024678761248898118,0.16025073826214364
457,457,457,457,2020-11-25,36.47623443603516,35.63593292236328,35.3829460144043,0.02358017441279192,0.030898739217073423
458,458,458,458,2020-11-27,36.09674453735352,35.00345230102539,35.437156677246094,0.03123384022027187,0.0186128888983621
459,459,459,459,2020-11-30,35.346805572509766,34.77756881713867,34.876949310302734,0.016367928372571283,0.013471827998105201
460,460,460,460,2020-12-01,35.65401077270508,34.22639846801758,34.09086990356445,0.04171085386099027,0.04585218486833598
461,461,461,461,2020-12-02,36.13289260864258,34.8317756652832,34.976348876953125,0.03735430992271227,0.03306645115412632
462,462,462,462,2020-12-03,36.25035095214844,36.76536560058594,35.8798942565918,-0.01400814707060305,0.01032491046120021
463,463,463,463,2020-12-04,36.72923278808594,36.47623443603516,35.63593292236328,0.006935977793827153,0.03067970377272089
464,464,464,464,2020-12-07,36.44913101196289,36.09674453735352,35.00345230102539,0.009762278541343594,0.04130103220976156
465,465,465,465,2020-12-08,36.84669494628906,35.346805572509766,34.77756881713867,0.04243351979013932,0.05949599697523156
466,466,466,466,2020-12-09,36.85572814941406,35.65401077270508,34.22639846801758,0.03370497037121445,0.07682168732574746
467,467,467,467,2020-12-10,37.370750427246094,36.13289260864258,34.8317756652832,0.03425847556714667,0.0728924872036738
468,468,468,468,2020-12-11,36.35877990722656,36.25035095214844,36.76536560058594,0.0029911146300694025,-0.011058932414176659
469,469,469,469,2020-12-14,35.988319396972656,36.72923278808594,36.47623443603516,-0.020172307855927052,-0.013376244741438836
470,470,470,470,2020-12-15,36.3135986328125,36.44913101196289,36.09674453735352,-0.003718398090366226,0.006007580413091684
471,471,471,471,2020-12-16,36.54851913452149,36.84669494628906,35.346805572509766,-0.008092335342483659,0.03399779817575177
472,472,472,472,2020-12-17,36.51237106323242,36.85572814941406,35.65401077270508,-0.009316247525748556,0.024074718998639666
473,473,473,473,2020-12-18,36.85572814941406,37.370750427246094,36.13289260864258,-0.01378142723771858,0.02000491764112433
474,474,474,474,2020-12-21,37.42496109008789,36.35877990722656,36.25035095214844,0.029323898810185822,0.0324027245829972
475,475,475,475,2020-12-22,36.39491653442383,35.988319396972656,36.72923278808594,0.011298030701744066,-0.009102184507664202
476,476,476,476,2020-12-23,37.02740478515625,36.3135986328125,36.44913101196289,0.01965671757187848,0.015865227980430108
477,477,477,477,2020-12-24,37.08161926269531,36.54851913452149,36.84669494628906,0.01458609379525555,0.006375722890443747
478,478,478,478,2020-12-28,37.44302749633789,36.51237106323242,36.85572814941406,0.0254887975227287,0.015935090050124723
479,479,479,479,2020-12-29,37.44302749633789,36.85572814941406,37.370750427246094,0.015935090050124723,0.0019340545283539345
480,480,480,480,2020-12-30,37.66891098022461,37.42496109008789,36.35877990722656,0.006518373914925268,0.036033416862199186
481,481,481,481,2020-12-31,38.34658050537109,36.39491653442383,35.988319396972656,0.053624631041571336,0.06552851447119279
482,482,482,482,2021-01-04,37.66891098022461,37.02740478515625,36.3135986328125,0.017325173038471586,0.03732244664365125
483,483,483,483,2021-01-05,38.09358215332031,37.08161926269531,36.54851913452149,0.027290148346974963,0.04227429880570588
484,484,484,484,2021-01-06,40.66869735717773,37.44302749633789,36.51237106323242,0.08614874588213572,0.11383337134549132
485,485,485,485,2021-01-07,40.91265487670898,37.44302749633789,36.85572814941406,0.09266417841640706,0.11007588049401784
486,486,486,486,2021-01-08,40.47895050048828,37.66891098022461,37.42496109008789,0.07459837428639449,0.08160300829836387
