,Unnamed: 0.1,Unnamed: 0,Date,HUBB,HUBB_6m,HUBB_12m
555,555,555,2021-04-20,176.3897247314453,177.94659423828125,180.737533569336
556,556,556,2021-04-21,180.3103485107422,174.56704711914062,182.66461181640625
557,557,557,2021-04-22,178.81993103027344,175.55433654785156,182.9114227294922
558,558,558,2021-04-23,181.43052673339844,177.8231964111328,178.25982666015625
559,559,559,2021-04-26,180.8229522705078,179.68377685546875,176.63653564453125
560,560,560,2021-04-27,184.24044799804688,179.4654541015625,177.93707275390625
561,561,561,2021-04-28,181.7153167724609,176.3897247314453,177.94659423828125
562,562,562,2021-04-29,185.98719787597656,180.3103485107422,174.56704711914062
563,563,563,2021-04-30,182.275390625,178.81993103027344,175.55433654785156
564,564,564,2021-05-03,183.80377197265625,181.43052673339844,177.8231964111328
565,565,565,2021-05-04,185.57894897460932,180.8229522705078,179.68377685546875
566,566,566,2021-05-05,188.08514404296875,184.24044799804688,179.4654541015625
567,567,567,2021-05-06,189.6514892578125,181.7153167724609,176.3897247314453
568,568,568,2021-05-07,189.08189392089844,185.98719787597656,180.3103485107422
569,569,569,2021-05-10,187.4775390625,182.275390625,178.81993103027344
570,570,570,2021-05-11,185.9017639160156,183.80377197265625,181.43052673339844
571,571,571,2021-05-12,179.2091522216797,185.57894897460932,180.8229522705078
572,572,572,2021-05-13,182.01907348632807,188.08514404296875,184.24044799804688
573,573,573,2021-05-14,184.2499237060547,189.6514892578125,181.7153167724609
574,574,574,2021-05-17,183.101303100586,189.08189392089844,185.98719787597656
575,575,575,2021-05-18,179.43701171875,187.4775390625,182.275390625
576,576,576,2021-05-19,178.55413818359375,185.9017639160156,183.80377197265625
577,577,577,2021-05-20,178.9528350830078,179.2091522216797,185.57894897460932
578,578,578,2021-05-21,178.78195190429688,182.01907348632807,188.08514404296875
579,579,579,2021-05-24,179.35154724121094,184.2499237060547,189.6514892578125
580,580,580,2021-05-25,178.117431640625,183.101303100586,189.08189392089844
581,581,581,2021-05-26,179.759765625,179.43701171875,187.4775390625
582,582,582,2021-05-27,181.09567260742188,178.55413818359375,185.9017639160156
583,583,583,2021-05-28,181.9163360595703,178.9528350830078,179.2091522216797
584,584,584,2021-06-01,183.2236328125,178.78195190429688,182.01907348632807
585,585,585,2021-06-02,181.68728637695312,179.35154724121094,184.2499237060547
586,586,586,2021-06-03,182.3648223876953,178.117431640625,183.101303100586
587,587,587,2021-06-04,182.880111694336,179.759765625,179.43701171875
588,588,588,2021-06-07,181.210189819336,181.09567260742188,178.55413818359375
589,589,589,2021-06-08,181.1338653564453,181.9163360595703,178.9528350830078
590,590,590,2021-06-09,178.2329559326172,183.2236328125,178.78195190429688
591,591,591,2021-06-10,176.17178344726562,181.68728637695312,179.35154724121094
592,592,592,2021-06-11,176.02867126464844,182.3648223876953,178.117431640625
593,593,593,2021-06-14,174.864501953125,182.880111694336,179.759765625
594,594,594,2021-06-15,175.8378448486328,181.210189819336,181.09567260742188
595,595,595,2021-06-16,173.19456481933594,181.1338653564453,181.9163360595703
596,596,596,2021-06-17,168.44248962402344,178.2329559326172,183.2236328125
597,597,597,2021-06-18,167.287841796875,176.17178344726562,181.68728637695312
598,598,598,2021-06-21,171.8300323486328,176.02867126464844,182.3648223876953
599,599,599,2021-06-22,173.78622436523438,174.864501953125,182.880111694336
600,600,600,2021-06-23,174.29196166992188,175.8378448486328,181.210189819336
601,601,601,2021-06-24,175.76148986816406,173.19456481933594,181.1338653564453
602,602,602,2021-06-25,177.1451416015625,168.44248962402344,178.2329559326172
603,603,603,2021-06-28,176.2863311767578,167.287841796875,176.17178344726562
604,604,604,2021-06-29,176.69662475585938,171.8300323486328,176.02867126464844
605,605,605,2021-06-30,178.2902069091797,173.78622436523438,174.864501953125
606,606,606,2021-07-01,177.92759704589844,174.29196166992188,175.8378448486328
607,607,607,2021-07-02,177.73675537109375,175.76148986816406,173.19456481933594
608,608,608,2021-07-06,175.00762939453125,177.1451416015625,168.44248962402344
609,609,609,2021-07-07,178.2520751953125,176.2863311767578,167.287841796875
610,610,610,2021-07-08,176.60122680664062,176.69662475585938,171.8300323486328
611,611,611,2021-07-09,180.81895446777344,178.2902069091797,173.78622436523438
612,612,612,2021-07-12,182.76559448242188,177.92759704589844,174.29196166992188
613,613,613,2021-07-13,180.2655029296875,177.73675537109375,175.76148986816406
614,614,614,2021-07-14,182.04991149902344,175.00762939453125,177.1451416015625
615,615,615,2021-07-15,183.41452026367188,178.2520751953125,176.2863311767578
616,616,616,2021-07-16,182.3934631347656,176.60122680664062,176.69662475585938
