,Unnamed: 0.1,Unnamed: 0,Date,EXC,EXC_6m,EXC_12m
959,959,959,2022-11-23,38.483280181884766,36.90997314453125,35.09825897216797
960,960,960,2022-11-25,38.67632675170898,36.73624038696289,36.08384323120117
961,961,961,2022-11-28,38.83076095581055,36.17640686035156,36.0647087097168
962,962,962,2022-11-29,38.60876083374024,37.23815155029297,37.31821060180664
963,963,963,2022-11-30,39.93111038208008,37.35397720336914,37.4234733581543
964,964,964,2022-12-01,40.085540771484375,38.0778923034668,36.73624038696289
965,965,965,2022-12-02,40.008331298828125,38.483280181884766,36.90997314453125
966,966,966,2022-12-05,40.29789352416992,38.67632675170898,36.73624038696289
967,967,967,2022-12-06,41.378936767578125,38.83076095581055,36.17640686035156
968,968,968,2022-12-07,40.838417053222656,38.60876083374024,37.23815155029297
969,969,969,2022-12-08,40.317195892333984,39.93111038208008,37.35397720336914
970,970,970,2022-12-09,39.9793701171875,40.085540771484375,38.0778923034668
971,971,971,2022-12-12,41.02180862426758,40.008331298828125,38.483280181884766
972,972,972,2022-12-13,41.06042098999024,40.29789352416992,38.67632675170898
973,973,973,2022-12-14,41.3306770324707,41.378936767578125,38.83076095581055
974,974,974,2022-12-15,40.905982971191406,40.838417053222656,38.60876083374024
975,975,975,2022-12-16,40.47163391113281,40.317195892333984,39.93111038208008
976,976,976,2022-12-19,40.317195892333984,39.9793701171875,40.085540771484375
977,977,977,2022-12-20,40.597110748291016,41.02180862426758,40.008331298828125
978,978,978,2022-12-21,41.14728546142578,41.06042098999024,40.29789352416992
979,979,979,2022-12-22,41.041114807128906,41.3306770324707,41.378936767578125
980,980,980,2022-12-23,41.54302597045898,40.905982971191406,40.838417053222656
981,981,981,2022-12-27,41.649200439453125,40.47163391113281,40.317195892333984
982,982,982,2022-12-28,41.44650268554688,40.317195892333984,39.9793701171875
983,983,983,2022-12-29,41.62989807128906,40.597110748291016,41.02180862426758
984,984,984,2022-12-30,41.72641754150391,41.14728546142578,41.06042098999024
985,985,985,2023-01-03,41.65885162353516,41.041114807128906,41.3306770324707
986,986,986,2023-01-04,42.20902633666992,41.54302597045898,40.905982971191406
987,987,987,2023-01-05,41.29206848144531,41.649200439453125,40.47163391113281
988,988,988,2023-01-06,42.15111541748047,41.44650268554688,40.317195892333984
989,989,989,2023-01-09,42.61442184448242,41.62989807128906,40.597110748291016
990,990,990,2023-01-10,42.17041778564453,41.72641754150391,41.14728546142578
991,991,991,2023-01-11,42.604766845703125,41.65885162353516,41.041114807128906
992,992,992,2023-01-12,41.87120056152344,42.20902633666992,41.54302597045898
993,993,993,2023-01-13,41.87120056152344,41.29206848144531,41.649200439453125
994,994,994,2023-01-17,41.65885162353516,42.15111541748047,41.44650268554688
995,995,995,2023-01-18,40.76119613647461,42.61442184448242,41.62989807128906
996,996,996,2023-01-19,40.57780838012695,42.17041778564453,41.72641754150391
997,997,997,2023-01-20,40.867374420166016,42.604766845703125,41.65885162353516
998,998,998,2023-01-23,40.36545944213867,41.87120056152344,42.20902633666992
999,999,999,2023-01-24,40.06624221801758,41.87120056152344,41.29206848144531
1000,1000,1000,2023-01-25,39.9793701171875,41.65885162353516,42.15111541748047
