,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GEN,GEN_6m,GEN_12m,GEN_6m_ret,GEN_12m_ret
958,958,958,958,2022-11-22,22.517486572265625,21.99484634399414,21.471620559692383,0.0237619404153826,0.04870922572731162
959,959,959,959,2022-11-23,22.439537048339844,21.54913711547852,20.98715209960937,0.041319516790385036,0.06920352708348187
960,960,960,960,2022-11-25,22.517486572265625,21.90764236450196,20.948394775390625,0.027837053281088098,0.07490272231828987
961,961,961,961,2022-11-28,22.439537048339844,21.75261306762696,22.20800971984864,0.03157891783287359,0.010425397476491183
962,962,962,962,2022-11-29,22.0400505065918,22.0400505065918,21.927021026611328,0.0,0.005154803283277554
963,963,963,963,2022-11-30,22.37132835388184,22.459022521972656,22.22739219665528,-0.003904629776519508,0.0064756205295293245
964,964,964,964,2022-12-01,23.150821685791016,22.517486572265625,21.99484634399414,0.028126367989287804,0.05255664548493311
965,965,965,965,2022-12-02,23.18979263305664,22.439537048339844,21.54913711547852,0.03343453936240204,0.07613555516335069
966,966,966,966,2022-12-05,22.994922637939453,22.517486572265625,21.90764236450196,0.021202902204097596,0.04963018180355494
967,967,967,967,2022-12-06,22.536970138549805,22.439537048339844,21.75261306762696,0.004342027645225732,0.03605806201233608
968,968,968,968,2022-12-07,22.069276809692383,22.0400505065918,22.0400505065918,0.0013260542706943212,0.0013260542706943212
969,969,969,969,2022-12-08,22.20569229125977,22.37132835388184,22.459022521972656,-0.007403944012708941,-0.011279664128972744
970,970,970,970,2022-12-09,22.08876609802246,23.150821685791016,22.517486572265625,-0.045875502916615685,-0.019039446204054178
971,971,971,971,2022-12-12,22.536970138549805,23.18979263305664,22.439537048339844,-0.028151286423158783,0.004342027645225732
972,972,972,972,2022-12-13,22.4200496673584,22.994922637939453,22.517486572265625,-0.024999995852674428,-0.004327166115743908
973,973,973,973,2022-12-14,22.40056037902832,22.536970138549805,22.439537048339844,-0.0060527106653148754,-0.0017369640571264222
974,974,974,974,2022-12-15,21.367738723754883,22.069276809692383,22.0400505065918,-0.03178799613539662,-0.03050409447273461
975,975,975,975,2022-12-16,21.055944442749023,22.20569229125977,22.37132835388184,-0.0517771674681492,-0.05879775623178729
976,976,976,976,2022-12-19,21.02671241760254,22.08876609802246,23.150821685791016,-0.048081168305503685,-0.0917509234452859
977,977,977,977,2022-12-20,20.93902015686035,22.536970138549805,23.18979263305664,-0.07090349642679505,-0.09705875821363974
978,978,978,978,2022-12-21,20.9585075378418,22.4200496673584,22.994922637939453,-0.06518906742853803,-0.08855933686585926
979,979,979,979,2022-12-22,20.763633728027344,22.40056037902832,22.536970138549805,-0.07307525451610963,-0.07868566180904435
980,980,980,980,2022-12-23,20.753890991210938,21.367738723754883,22.069276809692383,-0.028727781656255447,-0.059602579179384496
981,981,981,981,2022-12-27,20.88055992126465,21.055944442749023,22.20569229125977,-0.008329454039036066,-0.05967534597048785
982,982,982,982,2022-12-28,20.34465980529785,21.02671241760254,22.08876609802246,-0.03243743476197003,-0.07895897330728463
983,983,983,983,2022-12-29,20.70517349243164,20.93902015686035,22.536970138549805,-0.011167985066965702,-0.08127963230447066
