,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RVTY,RVTY_6m,RVTY_12m,RVTY_6m_ret,RVTY_12m_ret
391,391,391,391,2020-08-24,114.3886489868164,117.39678192138672,118.19100952148438,-0.025623640489435773,-0.03217131785287597
392,392,392,392,2020-08-25,115.38143920898438,118.80653381347656,118.46900177001952,-0.028829177104598536,-0.026062197831538625
393,393,393,393,2020-08-26,118.57819366455078,117.18830108642578,117.7442626953125,0.01186033559015387,0.007082561393214171
394,394,394,394,2020-08-27,113.67383575439452,116.8408432006836,116.86067962646484,-0.02710531146073203,-0.027270454718018033
395,395,395,395,2020-08-28,116.06645965576172,115.92745208740234,119.00509643554688,0.0011990910337145166,-0.024693369173283464
396,396,396,396,2020-08-31,116.87062072753906,116.05653381347656,119.13414764404295,0.0070145720134195955,-0.018999816268187142
397,397,397,397,2020-09-01,118.52855682373048,114.3886489868164,117.39678192138672,0.03619159657520932,0.009640595626391635
398,398,398,398,2020-09-02,121.1792984008789,115.38143920898438,118.80653381347656,0.05024949620703878,0.019971667476870625
399,399,399,399,2020-09-03,115.2027359008789,118.57819366455078,117.18830108642578,-0.02846609194622074,-0.01694337375948929
400,400,400,400,2020-09-04,113.47528839111328,113.67383575439452,116.8408432006836,-0.0017466408339578132,-0.02880460905087534
401,401,401,401,2020-09-08,111.2018051147461,116.06645965576172,115.92745208740234,-0.041912664136078304,-0.04076383020212848
402,402,402,402,2020-09-09,113.4256362915039,116.87062072753906,116.05653381347656,-0.029476907152452436,-0.02266910302698666
403,403,403,403,2020-09-10,112.64134216308594,118.52855682373048,114.3886489868164,-0.049669166810152765,-0.015275176682363445
404,404,404,404,2020-09-11,116.8408432006836,121.1792984008789,115.38143920898438,-0.035801950146988504,0.012648516101934515
405,405,405,405,2020-09-14,116.88053894042967,115.2027359008789,118.57819366455078,0.01456391661561196,-0.014316753120085957
406,406,406,406,2020-09-15,117.65491485595705,113.47528839111328,113.67383575439452,0.036832922163968496,0.03502194744412512
407,407,407,407,2020-09-16,119.44192504882812,111.2018051147461,116.06645965576172,0.07410059508997424,0.029082177599606407
408,408,408,408,2020-09-17,118.6278305053711,113.4256362915039,116.87062072753906,0.045864359980291924,0.015035513347093632
409,409,409,409,2020-09-18,117.3471450805664,112.64134216308594,118.52855682373048,0.041776871858178355,-0.009967317369104611
410,410,410,410,2020-09-21,117.39678192138672,116.8408432006836,121.1792984008789,0.004758085490261799,-0.031214213396244195
411,411,411,411,2020-09-22,119.08451080322266,116.88053894042967,115.2027359008789,0.01885661961155294,0.03369516246283988
412,412,412,412,2020-09-23,116.73161315917967,117.65491485595705,113.47528839111328,-0.007847540393087327,0.02869633392640414
413,413,413,413,2020-09-24,117.10887908935548,119.44192504882812,111.2018051147461,-0.019532889799949937,0.053120306532021155
414,414,414,414,2020-09-25,118.93558502197266,118.6278305053711,113.4256362915039,0.002594285972275623,0.048577631218291506
415,415,415,415,2020-09-28,121.010498046875,117.3471450805664,112.64134216308594,0.031218083437764665,0.07429914916738034
416,416,416,416,2020-09-29,122.37063598632812,117.39678192138672,116.8408432006836,0.04236789104042127,0.04732756657829551
417,417,417,417,2020-09-30,124.60440063476562,119.08451080322266,116.88053894042967,0.04635271030893451,0.06608338534674751
418,418,418,418,2020-10-01,123.95909118652344,116.73161315917967,117.65491485595705,0.06191534436766588,0.05358192080870139
419,419,419,419,2020-10-02,123.66124725341795,117.10887908935548,119.44192504882812,0.05595107915825004,0.035325303094913885
420,420,420,420,2020-10-05,128.7741241455078,118.93558502197266,118.6278305053711,0.08272157674019542,0.0855304661386127
421,421,421,421,2020-10-06,125.63689422607422,121.010498046875,117.3471450805664,0.03823136218650314,0.07064295547894561
422,422,422,422,2020-10-07,127.31470489501952,122.37063598632812,117.39678192138672,0.04040241246473353,0.08448206851423068
423,423,423,423,2020-10-08,126.68923950195312,124.60440063476562,119.08451080322266,0.01673166322029407,0.06385993146746571
424,424,424,424,2020-10-09,128.7443389892578,123.95909118652344,116.73161315917967,0.038603443740434784,0.10290893362106734
425,425,425,425,2020-10-12,127.404052734375,123.66124725341795,117.10887908935548,0.03026659979651458,0.08791112787583066
426,426,426,426,2020-10-13,123.77047729492188,128.7741241455078,118.93558502197266,-0.0388559959835727,0.0406513515030511
427,427,427,427,2020-10-14,121.16936492919922,125.63689422607422,121.010498046875,-0.035559055517848215,0.0013128355381422097
428,428,428,428,2020-10-15,122.51040649414062,127.31470489501952,122.37063598632812,-0.03773561274670034,0.001142189927231474
429,429,429,429,2020-10-16,123.19580078125,126.68923950195312,124.60440063476562,-0.027574865351127742,-0.011304575491233648
430,430,430,430,2020-10-19,121.48723602294922,128.7443389892578,123.95909118652344,-0.056368326741839225,-0.019940894531525477
431,431,431,431,2020-10-20,122.53025817871094,127.404052734375,123.66124725341795,-0.03825462731413609,-0.009145865012903265
432,432,432,432,2020-10-21,122.56005096435548,123.77047729492188,128.7741241455078,-0.009779604611866999,-0.048255604317919976
433,433,433,433,2020-10-22,124.36795806884766,121.16936492919922,125.63689422607422,0.026397704910951836,-0.010100028061368671
434,434,434,434,2020-10-23,123.62295532226562,122.51040649414062,127.31470489501952,0.009081259788148666,-0.028997039861169305
435,435,435,435,2020-10-26,123.24546813964844,123.19580078125,126.68923950195312,0.00040315788430667077,-0.027182824491196023
436,436,436,436,2020-10-27,126.2354736328125,121.48723602294922,128.7443389892578,0.039084250867032155,-0.019487189698140006
437,437,437,437,2020-10-28,123.57328033447266,122.53025817871094,127.404052734375,0.008512363976581838,-0.030067900649040857
438,438,438,438,2020-10-29,127.93412017822266,122.56005096435548,123.77047729492188,0.04384845772812329,0.03364003253683512
439,439,439,439,2020-10-30,128.68907165527344,124.36795806884766,121.16936492919922,0.03474458898837662,0.06205947130669598
440,440,440,440,2020-11-02,131.75851440429688,123.62295532226562,122.51040649414062,0.0658094531134863,0.07548834564187468
441,441,441,441,2020-11-03,132.26510620117188,123.24546813964844,123.19580078125,0.07318433852109973,0.07361700124848891
442,442,442,442,2020-11-04,134.14256286621094,126.2354736328125,121.48723602294922,0.062637616874621,0.1041700120732938
443,443,443,443,2020-11-05,137.4901580810547,123.57328033447266,122.53025817871094,0.11262044439472318,0.12209147458519731
444,444,444,444,2020-11-06,140.3609619140625,127.93412017822266,122.56005096435548,0.09713469493930349,0.1452423592324068
445,445,445,445,2020-11-09,127.23876953125,128.68907165527344,124.36795806884766,-0.011269815730029054,0.023083208142833156
446,446,446,446,2020-11-10,124.69578552246094,131.75851440429688,123.62295532226562,-0.05360358618012473,0.008678244241925981
447,447,447,447,2020-11-11,128.21224975585938,132.26510620117188,123.24546813964844,-0.030641917295618493,0.040299912777183255
448,448,448,448,2020-11-12,129.77183532714844,134.14256286621094,126.2354736328125,-0.03258270489003334,0.028014008998946904
449,449,449,449,2020-11-13,131.24197387695312,137.4901580810547,123.57328033447266,-0.04544459248070731,0.06205786171350147
450,450,450,450,2020-11-16,132.4340057373047,140.3609619140625,127.93412017822266,-0.0564755047889397,0.03517345922114701
451,451,451,451,2020-11-17,132.11611938476562,127.23876953125,128.68907165527344,0.0383322620258264,0.026630448766251202
452,452,452,452,2020-11-18,127.8148956298828,124.69578552246094,131.75851440429688,0.025013757236085787,-0.029930656035732195
453,453,453,453,2020-11-19,129.94068908691406,128.21224975585938,132.26510620117188,0.013481077934019314,-0.017573925436709104
454,454,454,454,2020-11-20,129.32479858398438,129.77183532714844,134.14256286621094,-0.003444790173746881,-0.035915254482140946
455,455,455,455,2020-11-23,126.9705581665039,131.24197387695312,137.4901580810547,-0.03254610993929363,-0.07651165771697743
456,456,456,456,2020-11-24,126.2255401611328,132.4340057373047,140.3609619140625,-0.0468796933356147,-0.10070764377907493
457,457,457,457,2020-11-25,126.6526870727539,132.11611938476562,127.23876953125,-0.04135326058208233,-0.004606162576510586
458,458,458,458,2020-11-27,128.4010009765625,127.8148956298828,124.69578552246094,0.00458557935513948,0.029714039160001482
459,459,459,459,2020-11-30,132.11611938476562,129.94068908691406,128.21224975585938,0.01674171741844832,0.030448491749734963
