,Unnamed: 0.1,Unnamed: 0,Date,PEP,PEP_6m,PEP_12m
971,971,971,2022-12-12,178.8361053466797,180.5081329345703,178.7998046875
972,972,972,2022-12-13,178.7388916015625,178.0098114013672,177.86273193359375
973,973,973,2022-12-14,178.24313354492188,176.5614013671875,177.6501922607422
974,974,974,2022-12-15,175.2199249267578,177.09605407714844,176.39430236816406
975,975,975,2022-12-16,175.30740356445312,178.65139770507812,179.21524047851562
976,976,976,2022-12-19,176.2794952392578,177.99038696289062,180.7122344970703
977,977,977,2022-12-20,176.17257690429688,178.8361053466797,180.5081329345703
978,978,978,2022-12-21,177.40713500976562,178.7388916015625,178.0098114013672
979,979,979,2022-12-22,176.03648376464844,178.24313354492188,176.5614013671875
980,980,980,2022-12-23,177.17381286621094,175.2199249267578,177.09605407714844
981,981,981,2022-12-27,177.96124267578125,175.30740356445312,178.65139770507812
982,982,982,2022-12-28,176.6780548095703,176.2794952392578,177.99038696289062
983,983,983,2022-12-29,176.90164184570312,176.17257690429688,178.8361053466797
984,984,984,2022-12-30,175.61846923828125,177.40713500976562,178.7388916015625
985,985,985,2023-01-03,174.40335083007812,176.03648376464844,178.24313354492188
986,986,986,2023-01-04,173.97564697265625,177.17381286621094,175.2199249267578
987,987,987,2023-01-05,172.15782165527344,177.96124267578125,175.30740356445312
988,988,988,2023-01-06,176.04620361328125,176.6780548095703,176.2794952392578
989,989,989,2023-01-09,174.32559204101562,176.90164184570312,176.17257690429688
990,990,990,2023-01-10,172.88690185546875,175.61846923828125,177.40713500976562
991,991,991,2023-01-11,173.08131408691406,174.40335083007812,176.03648376464844
992,992,992,2023-01-12,170.87466430664062,173.97564697265625,177.17381286621094
993,993,993,2023-01-13,170.3497314453125,172.15782165527344,177.96124267578125
994,994,994,2023-01-17,171.14682006835938,176.04620361328125,176.6780548095703
995,995,995,2023-01-18,166.83074951171875,174.32559204101562,176.90164184570312
996,996,996,2023-01-19,164.8962860107422,172.88690185546875,175.61846923828125
997,997,997,2023-01-20,165.13931274414062,173.08131408691406,174.40335083007812
998,998,998,2023-01-23,164.4005126953125,170.87466430664062,173.97564697265625
999,999,999,2023-01-24,165.92669677734375,170.3497314453125,172.15782165527344
1000,1000,1000,2023-01-25,167.132080078125,171.14682006835938,176.04620361328125
1001,1001,1001,2023-01-26,165.46981811523438,166.83074951171875,174.32559204101562
1002,1002,1002,2023-01-27,164.88656616210938,164.8962860107422,172.88690185546875
1003,1003,1003,2023-01-30,164.75045776367188,165.13931274414062,173.08131408691406
1004,1004,1004,2023-01-31,166.2474822998047,164.4005126953125,170.87466430664062
1005,1005,1005,2023-02-01,166.77243041992188,165.92669677734375,170.3497314453125
1006,1006,1006,2023-02-02,165.22679138183594,167.132080078125,171.14682006835938
1007,1007,1007,2023-02-03,164.4005126953125,165.46981811523438,166.83074951171875
1008,1008,1008,2023-02-06,167.02517700195312,164.88656616210938,164.8962860107422
1009,1009,1009,2023-02-07,166.77243041992188,164.75045776367188,165.13931274414062
1010,1010,1010,2023-02-08,166.3835906982422,166.2474822998047,164.4005126953125
1011,1011,1011,2023-02-09,167.9583740234375,166.77243041992188,165.92669677734375
1012,1012,1012,2023-02-10,171.28292846679688,165.22679138183594,167.132080078125
1013,1013,1013,2023-02-13,172.8091278076172,164.4005126953125,165.46981811523438
1014,1014,1014,2023-02-14,170.86492919921875,167.02517700195312,164.88656616210938
1015,1015,1015,2023-02-15,171.09823608398438,166.77243041992188,164.75045776367188
1016,1016,1016,2023-02-16,170.6121826171875,166.3835906982422,166.2474822998047
1017,1017,1017,2023-02-17,171.3607177734375,167.9583740234375,166.77243041992188
1018,1018,1018,2023-02-21,171.2635040283203,171.28292846679688,165.22679138183594
1019,1019,1019,2023-02-22,171.20516967773438,172.8091278076172,164.4005126953125
1020,1020,1020,2023-02-23,171.38986206054688,170.86492919921875,167.02517700195312
1021,1021,1021,2023-02-24,171.04962158203125,171.09823608398438,166.77243041992188
1022,1022,1022,2023-02-27,171.00103759765625,170.6121826171875,166.3835906982422
1023,1023,1023,2023-02-28,168.6874542236328,171.3607177734375,167.9583740234375
