,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MPWR,MPWR_6m,MPWR_12m,MPWR_6m_ret,MPWR_12m_ret
209,209,209,209,2019-12-03,152.49510192871094,153.01817321777344,155.10061645507812,-0.003418360565042633,-0.016798866348296082
210,210,210,210,2019-12-04,156.73756408691406,158.95559692382812,157.39617919921875,-0.013953788855745386,-0.004184441551602469
211,211,211,211,2019-12-05,157.21214294433594,157.6674041748047,156.06924438476562,-0.0028874784414159027,0.007323022316636951
212,212,212,212,2019-12-06,160.77651977539062,158.0645294189453,156.67941284179688,0.017157488567578927,0.02614961888918166
213,213,213,213,2019-12-09,159.14935302734375,155.6333465576172,154.15139770507812,0.022591601012864615,0.03242238083256099
214,214,214,214,2019-12-10,159.93386840820312,153.0375213623047,153.48306274414062,0.04506311252631878,0.042029430145110735
215,215,215,215,2019-12-11,163.74044799804688,152.49510192871094,153.01817321777344,0.07374234271860725,0.0700719042372413
216,216,216,216,2019-12-12,168.29283142089844,156.73756408691406,158.95559692382812,0.07372366287112109,0.058741149589999875
217,217,217,217,2019-12-13,169.1161346435547,157.21214294433594,157.6674041748047,0.0757192890846452,0.07261317282839808
218,218,218,218,2019-12-16,171.66351318359375,160.77651977539062,158.0645294189453,0.06771507072931149,0.08603437984878148
219,219,219,219,2019-12-17,173.03895568847656,159.14935302734375,155.6333465576172,0.08727401272405055,0.11183727341116856
220,220,220,220,2019-12-18,173.2229766845703,159.93386840820312,153.0375213623047,0.08309127021456808,0.13189873400052066
221,221,221,221,2019-12-19,174.27874755859375,163.74044799804688,152.49510192871094,0.06435978213930738,0.14284816596972627
222,222,222,222,2019-12-20,177.14576721191406,168.29283142089844,156.73756408691406,0.052604354661278,0.13020620324100007
223,223,223,223,2019-12-23,173.44570922851562,169.1161346435547,157.21214294433594,0.025601191714122118,0.10325898483508045
224,224,224,224,2019-12-24,172.7386932373047,171.66351318359375,160.77651977539062,0.006263299834490921,0.07440249035509394
