,Unnamed: 0.1,Unnamed: 0,Date,DAL,DAL_6m,DAL_12m
292,292,292,2020-04-02,22.569297790527344,30.948198318481445,31.58507537841797
293,293,293,2020-04-03,22.37027359008789,31.545270919799805,23.375343322753903
294,294,294,2020-04-06,22.2110538482666,29.40576362609864,21.40500831604004
295,295,295,2020-04-07,22.141395568847656,28.530059814453125,21.24578857421875
296,296,296,2020-04-08,23.11661148071289,28.390743255615234,22.111541748046875
297,297,297,2020-04-09,24.27095031738281,23.75348854064941,26.75874710083008
298,298,298,2020-04-13,23.13651466369629,22.569297790527344,30.948198318481445
299,299,299,2020-04-14,24.42021942138672,22.37027359008789,31.545270919799805
300,300,300,2020-04-15,24.23114776611328,22.2110538482666,29.40576362609864
301,301,301,2020-04-16,22.66880989074707,22.141395568847656,28.530059814453125
302,302,302,2020-04-17,24.15153694152832,23.11661148071289,28.390743255615234
303,303,303,2020-04-20,23.52461051940918,24.27095031738281,23.75348854064941
304,304,304,2020-04-21,22.987247467041016,23.13651466369629,22.569297790527344
305,305,305,2020-04-22,22.360322952270508,24.42021942138672,22.37027359008789
306,306,306,2020-04-23,22.37027359008789,24.23114776611328,22.2110538482666
307,307,307,2020-04-24,22.300615310668945,22.66880989074707,22.141395568847656
308,308,308,2020-04-27,22.051834106445312,24.15153694152832,23.11661148071289
309,309,309,2020-04-28,24.221195220947266,23.52461051940918,24.27095031738281
310,310,310,2020-04-29,27.18664932250977,22.987247467041016,23.13651466369629
311,311,311,2020-04-30,25.783531188964844,22.360322952270508,24.42021942138672
312,312,312,2020-05-01,24.00226783752441,22.37027359008789,24.23114776611328
313,313,313,2020-05-04,22.459835052490234,22.300615310668945,22.66880989074707
314,314,314,2020-05-05,21.60403060913086,22.051834106445312,24.15153694152832
315,315,315,2020-05-06,20.897497177124023,24.221195220947266,23.52461051940918
316,316,316,2020-05-07,21.57417869567871,27.18664932250977,22.987247467041016
317,317,317,2020-05-08,22.609102249145508,25.783531188964844,22.360322952270508
318,318,318,2020-05-11,21.90256690979004,24.00226783752441,22.37027359008789
319,319,319,2020-05-12,20.927350997924805,22.459835052490234,22.300615310668945
320,320,320,2020-05-13,19.315258026123047,21.60403060913086,22.051834106445312
321,321,321,2020-05-14,19.285404205322266,20.897497177124023,24.221195220947266
322,322,322,2020-05-15,19.096332550048828,21.57417869567871,27.18664932250977
323,323,323,2020-05-18,21.75329971313477,22.609102249145508,25.783531188964844
324,324,324,2020-05-19,21.65378761291504,21.90256690979004,24.00226783752441
325,325,325,2020-05-20,22.609102249145508,20.927350997924805,22.459835052490234
326,326,326,2020-05-21,23.046953201293945,19.315258026123047,21.60403060913086
327,327,327,2020-05-22,22.579248428344727,19.285404205322266,20.897497177124023
328,328,328,2020-05-26,25.524799346923828,19.096332550048828,21.57417869567871
329,329,329,2020-05-27,26.191530227661133,21.75329971313477,22.609102249145508
330,330,330,2020-05-28,25.534751892089844,21.65378761291504,21.90256690979004
331,331,331,2020-05-29,25.08694839477539,22.609102249145508,20.927350997924805
332,332,332,2020-06-01,26.04226303100586,23.046953201293945,19.315258026123047
333,333,333,2020-06-02,26.28109169006348,22.579248428344727,19.285404205322266
334,334,334,2020-06-03,28.331035614013672,25.524799346923828,19.096332550048828
335,335,335,2020-06-04,32.221954345703125,26.191530227661133,21.75329971313477
336,336,336,2020-06-05,33.993263244628906,25.534751892089844,21.65378761291504
337,337,337,2020-06-08,36.78955078125,25.08694839477539,22.609102249145508
338,338,338,2020-06-09,34.003211975097656,26.04226303100586,23.046953201293945
339,339,339,2020-06-10,31.48556327819824,26.28109169006348,22.579248428344727
340,340,340,2020-06-11,27.06723594665528,28.331035614013672,25.524799346923828
341,341,341,2020-06-12,30.281469345092773,32.221954345703125,26.191530227661133
342,342,342,2020-06-15,30.31132125854492,33.993263244628906,25.534751892089844
343,343,343,2020-06-16,31.147220611572266,36.78955078125,25.08694839477539
344,344,344,2020-06-17,30.570053100585938,34.003211975097656,26.04226303100586
345,345,345,2020-06-18,30.63971328735352,31.48556327819824,26.28109169006348
346,346,346,2020-06-19,29.36595916748047,27.06723594665528,28.331035614013672
347,347,347,2020-06-22,29.166934967041016,30.281469345092773,32.221954345703125
348,348,348,2020-06-23,29.495323181152344,30.31132125854492,33.993263244628906
349,349,349,2020-06-24,27.206552505493164,31.147220611572266,36.78955078125
350,350,350,2020-06-25,27.87328147888184,30.570053100585938,34.003211975097656
351,351,351,2020-06-26,26.778648376464844,30.63971328735352,31.48556327819824
352,352,352,2020-06-29,28.47035217285156,29.36595916748047,27.06723594665528
353,353,353,2020-06-30,27.9130859375,29.166934967041016,30.281469345092773
354,354,354,2020-07-01,27.56479454040528,29.495323181152344,30.31132125854492
355,355,355,2020-07-02,27.58469581604004,27.206552505493164,31.147220611572266
356,356,356,2020-07-06,28.30118179321289,27.87328147888184,30.570053100585938
357,357,357,2020-07-07,26.878162384033203,26.778648376464844,30.63971328735352
358,358,358,2020-07-08,26.878162384033203,28.47035217285156,29.36595916748047
359,359,359,2020-07-09,25.524799346923828,27.9130859375,29.166934967041016
360,360,360,2020-07-10,26.957773208618164,27.56479454040528,29.495323181152344
361,361,361,2020-07-13,26.689088821411133,27.58469581604004,27.206552505493164
362,362,362,2020-07-14,25.98255729675293,28.30118179321289,27.87328147888184
363,363,363,2020-07-15,28.46040153503418,26.878162384033203,26.778648376464844
364,364,364,2020-07-16,27.126941680908203,26.878162384033203,28.47035217285156
365,365,365,2020-07-17,26.917966842651367,25.524799346923828,27.9130859375
366,366,366,2020-07-20,26.092018127441406,26.957773208618164,27.56479454040528
367,367,367,2020-07-21,26.30099296569824,26.689088821411133,27.58469581604004
368,368,368,2020-07-22,26.121871948242188,25.98255729675293,28.30118179321289
369,369,369,2020-07-23,26.64928436279297,28.46040153503418,26.878162384033203
370,370,370,2020-07-24,25.83328628540039,27.126941680908203,26.878162384033203
371,371,371,2020-07-27,25.375532150268555,26.917966842651367,25.524799346923828
372,372,372,2020-07-28,25.813385009765625,26.092018127441406,26.957773208618164
373,373,373,2020-07-29,25.594457626342773,26.30099296569824,26.689088821411133
374,374,374,2020-07-30,24.818265914916992,26.121871948242188,25.98255729675293
