,Unnamed: 0.1,Unnamed: 0,Date,J,J_6m,J_12m
617,617,617,2021-07-19,126.14518737792967,132.11048889160156,130.90370178222656
618,618,618,2021-07-20,129.73619079589844,132.9837188720703,131.7769317626953
619,619,619,2021-07-21,131.1686248779297,130.38369750976562,130.22671508789062
620,620,620,2021-07-22,129.7852325439453,130.39352416992188,129.25540161132812
621,621,621,2021-07-23,131.37466430664062,130.1482391357422,131.0509033203125
622,622,622,2021-07-26,130.7957763671875,129.5497283935547,129.80484008789062
623,623,623,2021-07-27,131.13919067382812,126.14518737792967,132.11048889160156
624,624,624,2021-07-28,132.56182861328125,129.73619079589844,132.9837188720703
625,625,625,2021-07-29,134.1537628173828,131.1686248779297,130.38369750976562
626,626,626,2021-07-30,132.90579223632812,129.7852325439453,130.39352416992188
627,627,627,2021-08-02,131.5791778564453,131.37466430664062,130.1482391357422
628,628,628,2021-08-03,127.21614837646484,130.7957763671875,129.5497283935547
629,629,629,2021-08-04,126.46929931640624,131.13919067382812,126.14518737792967
630,630,630,2021-08-05,126.50861358642578,132.56182861328125,129.73619079589844
631,631,631,2021-08-06,126.65602111816406,134.1537628173828,131.1686248779297
632,632,632,2021-08-09,128.10055541992188,132.90579223632812,129.7852325439453
633,633,633,2021-08-10,129.43695068359375,131.5791778564453,131.37466430664062
634,634,634,2021-08-11,133.79017639160156,127.21614837646484,130.7957763671875
635,635,635,2021-08-12,137.1410675048828,126.46929931640624,131.13919067382812
636,636,636,2021-08-13,135.67691040039062,126.50861358642578,132.56182861328125
637,637,637,2021-08-16,135.7456817626953,126.65602111816406,134.1537628173828
638,638,638,2021-08-17,133.3970947265625,128.10055541992188,132.90579223632812
639,639,639,2021-08-18,131.58900451660156,129.43695068359375,131.5791778564453
640,640,640,2021-08-19,129.64332580566406,133.79017639160156,127.21614837646484
641,641,641,2021-08-20,130.44911193847656,137.1410675048828,126.46929931640624
642,642,642,2021-08-23,130.63580322265625,135.67691040039062,126.50861358642578
643,643,643,2021-08-24,132.19825744628906,135.7456817626953,126.65602111816406
644,644,644,2021-08-25,133.04336547851562,133.3970947265625,128.10055541992188
645,645,645,2021-08-26,131.36300659179688,131.58900451660156,129.43695068359375
646,646,646,2021-08-27,133.652587890625,129.64332580566406,133.79017639160156
647,647,647,2021-08-30,133.02369689941406,130.44911193847656,137.1410675048828
648,648,648,2021-08-31,132.62081909179688,130.63580322265625,135.67691040039062
649,649,649,2021-09-01,132.38497924804688,132.19825744628906,135.7456817626953
650,650,650,2021-09-02,133.927734375,133.04336547851562,133.3970947265625
651,651,651,2021-09-03,134.72373962402344,131.36300659179688,131.58900451660156
652,652,652,2021-09-07,130.98959350585938,133.652587890625,129.64332580566406
653,653,653,2021-09-08,133.46592712402344,133.02369689941406,130.44911193847656
654,654,654,2021-09-09,133.20057678222656,132.62081909179688,130.63580322265625
655,655,655,2021-09-10,131.00924682617188,132.38497924804688,132.19825744628906
656,656,656,2021-09-13,132.21792602539062,133.927734375,133.04336547851562
657,657,657,2021-09-14,130.70460510253906,134.72373962402344,131.36300659179688
658,658,658,2021-09-15,133.64276123046875,130.98959350585938,133.652587890625
659,659,659,2021-09-16,131.37281799316406,133.46592712402344,133.02369689941406
660,660,660,2021-09-17,128.28726196289062,133.20057678222656,132.62081909179688
661,661,661,2021-09-20,125.66351318359376,131.00924682617188,132.38497924804688
662,662,662,2021-09-21,124.54327392578124,132.21792602539062,133.927734375
663,663,663,2021-09-22,128.27740478515625,130.70460510253906,134.72373962402344
664,664,664,2021-09-23,132.473388671875,133.64276123046875,130.98959350585938
665,665,665,2021-09-24,133.64276123046875,131.37281799316406,133.46592712402344
666,666,666,2021-09-27,135.87344360351562,128.28726196289062,133.20057678222656
667,667,667,2021-09-28,133.71156311035156,125.66351318359376,131.00924682617188
668,668,668,2021-09-29,134.05551147460938,124.54327392578124,132.21792602539062
669,669,669,2021-09-30,130.23292541503906,128.27740478515625,130.70460510253906
670,670,670,2021-10-01,132.32598876953125,132.473388671875,133.64276123046875
671,671,671,2021-10-04,129.0832061767578,133.64276123046875,131.37281799316406
672,672,672,2021-10-05,129.9872589111328,135.87344360351562,128.28726196289062
673,673,673,2021-10-06,129.9479522705078,133.71156311035156,125.66351318359376
