,Unnamed: 0,Date,GS
692,692,2021-11-02,398.1677856445313
693,693,2021-11-03,392.5782775878906
694,694,2021-11-04,383.3439331054688
695,695,2021-11-05,382.4138793945313
696,696,2021-11-08,383.5975646972656
697,697,2021-11-09,380.7887268066406
698,698,2021-11-10,374.9362182617188
699,699,2021-11-11,377.9611206054688
700,700,2021-11-12,380.3753967285156
701,701,2021-11-15,380.2814636230469
702,702,2021-11-16,378.6656799316406
703,703,2021-11-17,367.8249206542969
704,704,2021-11-18,367.6558532714844
705,705,2021-11-19,363.9169921875
706,706,2021-11-22,372.1556091308594
707,707,2021-11-23,381.7187805175781
708,708,2021-11-24,375.0019836425781
709,709,2021-11-26,365.79583740234375
710,710,2021-11-29,363.1184997558594
711,711,2021-11-30,357.90478515625
712,712,2021-12-01,355.5344543457031
713,713,2021-12-02,365.9791259765625
714,714,2021-12-03,361.4367370605469
715,715,2021-12-06,367.6411743164063
716,716,2021-12-07,377.8497619628906
717,717,2021-12-08,375.2149658203125
718,718,2021-12-09,374.4311828613281
719,719,2021-12-10,369.30322265625
720,720,2021-12-13,363.2404479980469
721,721,2021-12-14,367.1878662109375
722,722,2021-12-15,368.2172546386719
723,723,2021-12-16,375.2621765136719
724,724,2021-12-17,360.5584106445313
725,725,2021-12-20,350.9353942871094
726,726,2021-12-21,359.16082763671875
727,727,2021-12-22,361.0589294433594
728,728,2021-12-23,363.61822509765625
729,729,2021-12-27,366.4513244628906
730,730,2021-12-28,366.0452270507813
731,731,2021-12-29,364.7136840820313
732,732,2021-12-30,364.0715026855469
733,733,2021-12-31,361.2667236328125
734,734,2022-01-03,373.3357238769531
735,735,2022-01-04,384.8097534179688
736,736,2022-01-05,376.4521179199219
737,737,2022-01-06,374.8467102050781
738,738,2022-01-07,375.3944091796875
739,739,2022-01-10,376.9620971679688
740,740,2022-01-11,380.6261901855469
741,741,2022-01-12,368.5950317382813
742,742,2022-01-13,369.0577697753906
743,743,2022-01-14,359.746337890625
744,744,2022-01-18,334.682861328125
745,745,2022-01-19,327.9967346191406
746,746,2022-01-20,328.7333374023437
747,747,2022-01-21,324.7764892578125
748,748,2022-01-24,324.285400390625
749,749,2022-01-25,322.5477294921875
750,750,2022-01-26,323.6148681640625
751,751,2022-01-27,322.0567321777344
752,752,2022-01-28,327.7040100097656
753,753,2022-01-31,334.9472961425781
754,754,2022-02-01,343.805419921875
755,755,2022-02-02,342.86102294921875
756,756,2022-02-03,338.91363525390625
757,757,2022-02-04,347.1484680175781
758,758,2022-02-07,347.6679077148437
759,759,2022-02-08,349.5093994140625
760,760,2022-02-09,353.6929016113281
761,761,2022-02-10,349.9532470703125
762,762,2022-02-11,342.86102294921875
763,763,2022-02-14,340.1979675292969
764,764,2022-02-15,343.69207763671875
765,765,2022-02-16,340.0185546875
766,766,2022-02-17,329.6399841308594
767,767,2022-02-18,326.7879638671875
768,768,2022-02-22,325.116455078125
769,769,2022-02-23,322.20782470703125
770,770,2022-02-24,321.2634582519531
771,771,2022-02-25,330.6409606933594
772,772,2022-02-28,322.3022155761719
773,773,2022-03-01,311.7674865722656
774,774,2022-03-02,319.5379333496094
775,775,2022-03-03,316.72613525390625
776,776,2022-03-04,313.1639099121094
777,777,2022-03-07,305.7734680175781
778,778,2022-03-08,305.2794494628906
779,779,2022-03-09,316.8876037597656
780,780,2022-03-10,313.3823547363281
781,781,2022-03-11,310.6275939941406
782,782,2022-03-14,308.7087097167969
783,783,2022-03-15,312.679443359375
784,784,2022-03-16,323.6986083984375
785,785,2022-03-17,326.0829467773437
786,786,2022-03-18,328.0873107910156
787,787,2022-03-21,322.0267333984375
788,788,2022-03-22,325.8359680175781
789,789,2022-03-23,318.8064880371094
790,790,2022-03-24,319.3954467773437
791,791,2022-03-25,320.59234619140625
792,792,2022-03-28,318.511962890625
793,793,2022-03-29,322.6537170410156
794,794,2022-03-30,318.7874755859375
795,795,2022-03-31,313.5723571777344
796,796,2022-04-01,313.68634033203125
797,797,2022-04-04,311.7770080566406
798,798,2022-04-05,307.7397766113281
799,799,2022-04-06,300.4253234863281
800,800,2022-04-07,298.4209289550781
801,801,2022-04-08,305.29852294921875
802,802,2022-04-11,304.70001220703125
803,803,2022-04-12,303.76910400390625
804,804,2022-04-13,305.849365234375
805,805,2022-04-14,305.5359802246094
806,806,2022-04-18,313.3633728027344
807,807,2022-04-19,319.12945556640625
808,808,2022-04-20,323.9836120605469
809,809,2022-04-21,317.5620422363281
810,810,2022-04-22,303.7595520019531
811,811,2022-04-25,305.32696533203125
812,812,2022-04-26,297.4425048828125
813,813,2022-04-27,297.5470275878906
814,814,2022-04-28,302.4676513671875
