,Unnamed: 0.1,Unnamed: 0,Date,TFX,TFX_6m,TFX_12m
231,231,231,2020-01-06,371.9839172363281,365.8788146972656,360.4412841796875
232,232,232,2020-01-07,371.4146118164063,365.1034851074219,363.915771484375
233,233,233,2020-01-08,372.4452209472656,364.5243835449219,366.5070190429688
234,234,234,2020-01-09,372.3961181640625,369.4810180664063,365.927978515625
235,235,235,2020-01-10,371.69927978515625,371.4930725097656,367.3903503417969
236,236,236,2020-01-13,371.18890380859375,367.6947326660156,367.0665283203125
237,237,237,2020-01-14,376.0572204589844,371.9839172363281,365.8788146972656
238,238,238,2020-01-15,373.3677978515625,371.4146118164063,365.1034851074219
239,239,239,2020-01-16,377.2742614746094,372.4452209472656,364.5243835449219
240,240,240,2020-01-17,376.6362915039063,372.3961181640625,369.4810180664063
241,241,241,2020-01-21,376.8424072265625,371.69927978515625,371.4930725097656
242,242,242,2020-01-22,379.2079162597656,371.18890380859375,367.6947326660156
243,243,243,2020-01-23,377.70611572265625,376.0572204589844,371.9839172363281
244,244,244,2020-01-24,372.994873046875,373.3677978515625,371.4146118164063
245,245,245,2020-01-27,371.5225524902344,377.2742614746094,372.4452209472656
246,246,246,2020-01-28,373.3482055664063,376.6362915039063,372.3961181640625
247,247,247,2020-01-29,372.36669921875,376.8424072265625,371.69927978515625
248,248,248,2020-01-30,373.4660034179688,379.2079162597656,371.18890380859375
249,249,249,2020-01-31,364.6422119140625,377.70611572265625,376.0572204589844
250,250,250,2020-02-03,366.7623596191406,372.994873046875,373.3677978515625
251,251,251,2020-02-04,376.1848449707031,371.5225524902344,377.2742614746094
252,252,252,2020-02-05,378.3440551757813,373.3482055664063,376.6362915039063
253,253,253,2020-02-06,374.3592529296875,372.36669921875,376.8424072265625
254,254,254,2020-02-07,368.1363525390625,373.4660034179688,379.2079162597656
255,255,255,2020-02-10,369.8343505859375,364.6422119140625,377.70611572265625
256,256,256,2020-02-11,371.8268432617188,366.7623596191406,372.994873046875
257,257,257,2020-02-12,370.4134826660156,376.1848449707031,371.5225524902344
258,258,258,2020-02-13,374.7223205566406,378.3440551757813,373.3482055664063
259,259,259,2020-02-14,379.5022583007813,374.3592529296875,372.36669921875
260,260,260,2020-02-18,380.591796875,368.1363525390625,373.4660034179688
261,261,261,2020-02-19,387.8353576660156,369.8343505859375,364.6422119140625
262,262,262,2020-02-20,377.2546691894531,371.8268432617188,366.7623596191406
263,263,263,2020-02-21,363.5526123046875,370.4134826660156,376.1848449707031
264,264,264,2020-02-24,354.90557861328125,374.7223205566406,378.3440551757813
265,265,265,2020-02-25,341.6748046875,379.5022583007813,374.3592529296875
266,266,266,2020-02-26,338.91668701171875,380.591796875,368.1363525390625
267,267,267,2020-02-27,330.86834716796875,387.8353576660156,369.8343505859375
268,268,268,2020-02-28,329.15869140625,377.2546691894531,371.8268432617188
269,269,269,2020-03-02,347.4234924316406,363.5526123046875,370.4134826660156
270,270,270,2020-03-03,331.2121276855469,354.90557861328125,374.7223205566406
271,271,271,2020-03-04,345.23260498046875,341.6748046875,379.5022583007813
