,Unnamed: 0.1,Unnamed: 0,Date,UDR,UDR_6m,UDR_12m
826,826,826,2022-05-16,44.91408157348633,46.61861801147461,52.32835006713867
827,827,827,2022-05-17,45.23077392578125,44.42041778564453,49.561973571777344
828,828,828,2022-05-18,43.53554534912109,43.34925842285156,48.21138000488281
829,829,829,2022-05-19,43.107078552246094,44.18754959106445,48.27658462524414
830,830,830,2022-05-20,43.38652038574219,44.65327453613281,48.490814208984375
831,831,831,2022-05-23,44.51355743408203,45.43568420410156,47.14022445678711
832,832,832,2022-05-24,44.52287673950195,44.91408157348633,46.61861801147461
833,833,833,2022-05-25,44.39247131347656,45.23077392578125,44.42041778564453
834,834,834,2022-05-26,44.327274322509766,43.53554534912109,43.34925842285156
835,835,835,2022-05-27,45.25871276855469,43.107078552246094,44.18754959106445
836,836,836,2022-05-31,44.52287673950195,43.38652038574219,44.65327453613281
837,837,837,2022-06-01,44.63465118408203,44.51355743408203,45.43568420410156
838,838,838,2022-06-02,44.70916366577149,44.52287673950195,44.91408157348633
839,839,839,2022-06-03,44.52287673950195,44.39247131347656,45.23077392578125
840,840,840,2022-06-06,43.22817611694336,44.327274322509766,43.53554534912109
841,841,841,2022-06-07,44.06647491455078,45.25871276855469,43.107078552246094
842,842,842,2022-06-08,43.17228317260742,44.52287673950195,43.38652038574219
843,843,843,2022-06-09,42.110443115234375,44.63465118408203,44.51355743408203
844,844,844,2022-06-10,41.69129180908203,44.70916366577149,44.52287673950195
845,845,845,2022-06-13,39.50241088867188,44.52287673950195,44.39247131347656
846,846,846,2022-06-14,39.418582916259766,43.22817611694336,44.327274322509766
