,Unnamed: 0.1,Unnamed: 0,Date,LYV,LYV_6m,LYV_12m
319,319,319,2020-05-12,38.15999984741211,41.83000183105469,38.2400016784668
320,320,320,2020-05-13,37.45000076293945,40.25,42.0099983215332
321,321,321,2020-05-14,39.18999862670898,38.4900016784668,43.63999938964844
322,322,322,2020-05-15,40.060001373291016,39.369998931884766,46.52999877929688
323,323,323,2020-05-18,46.150001525878906,41.959999084472656,44.869998931884766
324,324,324,2020-05-19,44.869998931884766,40.59000015258789,41.16999816894531
325,325,325,2020-05-20,47.72999954223633,38.15999984741211,41.83000183105469
326,326,326,2020-05-21,45.52999877929688,37.45000076293945,40.25
327,327,327,2020-05-22,46.4900016784668,39.18999862670898,38.4900016784668
328,328,328,2020-05-26,49.68999862670898,40.060001373291016,39.369998931884766
329,329,329,2020-05-27,51.70000076293945,46.150001525878906,41.959999084472656
330,330,330,2020-05-28,49.0099983215332,44.869998931884766,40.59000015258789
331,331,331,2020-05-29,49.15999984741211,47.72999954223633,38.15999984741211
332,332,332,2020-06-01,50.65999984741211,45.52999877929688,37.45000076293945
333,333,333,2020-06-02,50.52999877929688,46.4900016784668,39.18999862670898
334,334,334,2020-06-03,53.90999984741211,49.68999862670898,40.060001373291016
335,335,335,2020-06-04,53.470001220703125,51.70000076293945,46.150001525878906
336,336,336,2020-06-05,56.959999084472656,49.0099983215332,44.869998931884766
337,337,337,2020-06-08,57.09000015258789,49.15999984741211,47.72999954223633
338,338,338,2020-06-09,53.41999816894531,50.65999984741211,45.52999877929688
339,339,339,2020-06-10,52.47999954223633,50.52999877929688,46.4900016784668
340,340,340,2020-06-11,47.7400016784668,53.90999984741211,49.68999862670898
341,341,341,2020-06-12,49.119998931884766,53.470001220703125,51.70000076293945
342,342,342,2020-06-15,49.400001525878906,56.959999084472656,49.0099983215332
343,343,343,2020-06-16,49.20000076293945,57.09000015258789,49.15999984741211
344,344,344,2020-06-17,48.0,53.41999816894531,50.65999984741211
345,345,345,2020-06-18,48.31999969482422,52.47999954223633,50.52999877929688
346,346,346,2020-06-19,46.5099983215332,47.7400016784668,53.90999984741211
347,347,347,2020-06-22,45.77999877929688,49.119998931884766,53.470001220703125
348,348,348,2020-06-23,46.880001068115234,49.400001525878906,56.959999084472656
349,349,349,2020-06-24,44.18000030517578,49.20000076293945,57.09000015258789
350,350,350,2020-06-25,44.16999816894531,48.0,53.41999816894531
351,351,351,2020-06-26,42.619998931884766,48.31999969482422,52.47999954223633
352,352,352,2020-06-29,44.290000915527344,46.5099983215332,47.7400016784668
353,353,353,2020-06-30,44.33000183105469,45.77999877929688,49.119998931884766
354,354,354,2020-07-01,46.02000045776367,46.880001068115234,49.400001525878906
355,355,355,2020-07-02,45.36000061035156,44.18000030517578,49.20000076293945
356,356,356,2020-07-06,45.459999084472656,44.16999816894531,48.0
357,357,357,2020-07-07,45.040000915527344,42.619998931884766,48.31999969482422
358,358,358,2020-07-08,46.060001373291016,44.290000915527344,46.5099983215332
359,359,359,2020-07-09,45.04999923706055,44.33000183105469,45.77999877929688
360,360,360,2020-07-10,46.43999862670898,46.02000045776367,46.880001068115234
361,361,361,2020-07-13,45.65999984741211,45.36000061035156,44.18000030517578
362,362,362,2020-07-14,46.40999984741211,45.459999084472656,44.16999816894531
363,363,363,2020-07-15,51.84000015258789,45.040000915527344,42.619998931884766
364,364,364,2020-07-16,50.84999847412109,46.060001373291016,44.290000915527344
365,365,365,2020-07-17,51.040000915527344,45.04999923706055,44.33000183105469
366,366,366,2020-07-20,49.209999084472656,46.43999862670898,46.02000045776367
367,367,367,2020-07-21,49.18000030517578,45.65999984741211,45.36000061035156
368,368,368,2020-07-22,48.9900016784668,46.40999984741211,45.459999084472656
369,369,369,2020-07-23,48.0,51.84000015258789,45.040000915527344
370,370,370,2020-07-24,47.91999816894531,50.84999847412109,46.060001373291016
371,371,371,2020-07-27,47.34000015258789,51.040000915527344,45.04999923706055
372,372,372,2020-07-28,47.290000915527344,49.209999084472656,46.43999862670898
373,373,373,2020-07-29,46.93999862670898,49.18000030517578,45.65999984741211
374,374,374,2020-07-30,46.470001220703125,48.9900016784668,46.40999984741211
375,375,375,2020-07-31,46.810001373291016,48.0,51.84000015258789
376,376,376,2020-08-03,46.66999816894531,47.91999816894531,50.84999847412109
377,377,377,2020-08-04,47.7599983215332,47.34000015258789,51.040000915527344
378,378,378,2020-08-05,47.63999938964844,47.290000915527344,49.209999084472656
379,379,379,2020-08-06,47.470001220703125,46.93999862670898,49.18000030517578
380,380,380,2020-08-07,47.650001525878906,46.470001220703125,48.9900016784668
381,381,381,2020-08-10,50.79999923706055,46.810001373291016,48.0
382,382,382,2020-08-11,51.68999862670898,46.66999816894531,47.91999816894531
383,383,383,2020-08-12,51.34999847412109,47.7599983215332,47.34000015258789
384,384,384,2020-08-13,51.29999923706055,47.63999938964844,47.290000915527344
385,385,385,2020-08-14,51.47999954223633,47.470001220703125,46.93999862670898
386,386,386,2020-08-17,50.88999938964844,47.650001525878906,46.470001220703125
387,387,387,2020-08-18,50.31999969482422,50.79999923706055,46.810001373291016
388,388,388,2020-08-19,51.560001373291016,51.68999862670898,46.66999816894531
389,389,389,2020-08-20,51.54999923706055,51.34999847412109,47.7599983215332
390,390,390,2020-08-21,51.119998931884766,51.29999923706055,47.63999938964844
391,391,391,2020-08-24,54.09000015258789,51.47999954223633,47.470001220703125
392,392,392,2020-08-25,53.68000030517578,50.88999938964844,47.650001525878906
393,393,393,2020-08-26,52.63999938964844,50.31999969482422,50.79999923706055
394,394,394,2020-08-27,57.2599983215332,51.560001373291016,51.68999862670898
395,395,395,2020-08-28,58.709999084472656,51.54999923706055,51.34999847412109
396,396,396,2020-08-31,56.79999923706055,51.119998931884766,51.29999923706055
397,397,397,2020-09-01,57.20000076293945,54.09000015258789,51.47999954223633
398,398,398,2020-09-02,57.900001525878906,53.68000030517578,50.88999938964844
399,399,399,2020-09-03,56.09999847412109,52.63999938964844,50.31999969482422
400,400,400,2020-09-04,57.58000183105469,57.2599983215332,51.560001373291016
401,401,401,2020-09-08,57.810001373291016,58.709999084472656,51.54999923706055
402,402,402,2020-09-09,57.2400016784668,56.79999923706055,51.119998931884766
403,403,403,2020-09-10,56.93000030517578,57.20000076293945,54.09000015258789
404,404,404,2020-09-11,57.13999938964844,57.900001525878906,53.68000030517578
405,405,405,2020-09-14,58.65999984741211,56.09999847412109,52.63999938964844
406,406,406,2020-09-15,58.84999847412109,57.58000183105469,57.2599983215332
407,407,407,2020-09-16,59.970001220703125,57.810001373291016,58.709999084472656
408,408,408,2020-09-17,58.560001373291016,57.2400016784668,56.79999923706055
409,409,409,2020-09-18,56.9900016784668,56.93000030517578,57.20000076293945
410,410,410,2020-09-21,53.15999984741211,57.13999938964844,57.900001525878906
411,411,411,2020-09-22,53.11000061035156,58.65999984741211,56.09999847412109
412,412,412,2020-09-23,51.34000015258789,58.84999847412109,57.58000183105469
413,413,413,2020-09-24,50.90999984741211,59.970001220703125,57.810001373291016
414,414,414,2020-09-25,53.2400016784668,58.560001373291016,57.2400016784668
415,415,415,2020-09-28,54.40999984741211,56.9900016784668,56.93000030517578
416,416,416,2020-09-29,53.290000915527344,53.15999984741211,57.13999938964844
417,417,417,2020-09-30,53.880001068115234,53.11000061035156,58.65999984741211
418,418,418,2020-10-01,53.7400016784668,51.34000015258789,58.84999847412109
419,419,419,2020-10-02,54.72999954223633,50.90999984741211,59.970001220703125
420,420,420,2020-10-05,54.560001373291016,53.2400016784668,58.560001373291016
421,421,421,2020-10-06,54.209999084472656,54.40999984741211,56.9900016784668
422,422,422,2020-10-07,54.81999969482422,53.290000915527344,53.15999984741211
423,423,423,2020-10-08,56.27000045776367,53.880001068115234,53.11000061035156
424,424,424,2020-10-09,56.83000183105469,53.7400016784668,51.34000015258789
425,425,425,2020-10-12,55.84000015258789,54.72999954223633,50.90999984741211
426,426,426,2020-10-13,54.68999862670898,54.560001373291016,53.2400016784668
427,427,427,2020-10-14,54.36000061035156,54.209999084472656,54.40999984741211
428,428,428,2020-10-15,54.369998931884766,54.81999969482422,53.290000915527344
429,429,429,2020-10-16,54.59999847412109,56.27000045776367,53.880001068115234
430,430,430,2020-10-19,53.970001220703125,56.83000183105469,53.7400016784668
431,431,431,2020-10-20,55.63999938964844,55.84000015258789,54.72999954223633
432,432,432,2020-10-21,55.290000915527344,54.68999862670898,54.560001373291016
433,433,433,2020-10-22,56.83000183105469,54.36000061035156,54.209999084472656
434,434,434,2020-10-23,57.15999984741211,54.369998931884766,54.81999969482422
435,435,435,2020-10-26,54.52999877929688,54.59999847412109,56.27000045776367
436,436,436,2020-10-27,51.84999847412109,53.970001220703125,56.83000183105469
437,437,437,2020-10-28,49.400001525878906,55.63999938964844,55.84000015258789
438,438,438,2020-10-29,49.66999816894531,55.290000915527344,54.68999862670898
439,439,439,2020-10-30,48.79999923706055,56.83000183105469,54.36000061035156
440,440,440,2020-11-02,50.22999954223633,57.15999984741211,54.369998931884766
441,441,441,2020-11-03,53.34000015258789,54.52999877929688,54.59999847412109
442,442,442,2020-11-04,54.72999954223633,51.84999847412109,53.970001220703125
443,443,443,2020-11-05,56.43000030517578,49.400001525878906,55.63999938964844
444,444,444,2020-11-06,56.040000915527344,49.66999816894531,55.290000915527344
445,445,445,2020-11-09,64.36000061035156,48.79999923706055,56.83000183105469
446,446,446,2020-11-10,65.26000213623047,50.22999954223633,57.15999984741211
447,447,447,2020-11-11,63.68999862670898,53.34000015258789,54.52999877929688
448,448,448,2020-11-12,62.2400016784668,54.72999954223633,51.84999847412109
449,449,449,2020-11-13,66.08000183105469,56.43000030517578,49.400001525878906
450,450,450,2020-11-16,68.31999969482422,56.040000915527344,49.66999816894531
