,Unnamed: 0,Date,ROST
579,579,2021-05-24,119.54972076416016
580,580,2021-05-25,119.89817810058594
581,581,2021-05-26,122.09539031982422
582,582,2021-05-27,121.63079071044922
583,583,2021-05-28,122.33737182617188
584,584,2021-06-01,119.02702331542967
585,585,2021-06-02,117.11051940917967
586,586,2021-06-03,115.64894104003906
587,587,2021-06-04,115.6392593383789
588,588,2021-06-07,115.67321014404295
589,589,2021-06-08,116.6919937133789
590,590,2021-06-09,116.517333984375
591,591,2021-06-10,114.46041870117188
592,592,2021-06-11,116.50764465332033
593,593,2021-06-14,115.67321014404295
594,594,2021-06-15,115.19779205322266
595,595,2021-06-16,115.44036865234376
596,596,2021-06-17,114.7126693725586
597,597,2021-06-18,111.8310317993164
598,598,2021-06-21,115.8575668334961
599,599,2021-06-22,116.81810760498048
600,600,2021-06-23,117.2838363647461
601,601,2021-06-24,119.50569915771484
602,602,2021-06-25,119.89380645751952
603,603,2021-06-28,118.15705871582033
604,604,2021-06-29,118.5257568359375
605,605,2021-06-30,120.3110122680664
606,606,2021-07-01,121.27155303955078
607,607,2021-07-02,122.49407958984376
608,608,2021-07-06,122.75603485107422
609,609,2021-07-07,120.39833068847656
610,610,2021-07-08,118.05032348632812
611,611,2021-07-09,121.05809783935548
612,612,2021-07-12,120.40804290771484
613,613,2021-07-13,119.02056884765624
614,614,2021-07-14,121.17452239990234
615,615,2021-07-15,120.01993560791016
616,616,2021-07-16,115.93518829345705
617,617,2021-07-19,112.10269927978516
618,618,2021-07-20,115.06195068359376
619,619,2021-07-21,118.03092956542967
620,620,2021-07-22,117.59431457519533
621,621,2021-07-23,118.0600357055664
622,622,2021-07-26,118.74890899658205
623,623,2021-07-27,118.0115203857422
624,624,2021-07-28,117.57491302490234
625,625,2021-07-29,118.93326568603516
626,626,2021-07-30,119.0399932861328
627,627,2021-08-02,117.40997314453124
628,628,2021-08-03,118.3705062866211
629,629,2021-08-04,115.16868591308594
630,630,2021-08-05,117.080078125
631,631,2021-08-06,119.42808532714844
632,632,2021-08-09,117.84657287597656
633,633,2021-08-10,121.99925231933594
634,634,2021-08-11,123.46432495117188
635,635,2021-08-12,121.69847869873048
636,636,2021-08-13,120.9513931274414
637,637,2021-08-16,121.08721923828124
638,638,2021-08-17,117.16739654541016
639,639,2021-08-18,120.35952758789062
640,640,2021-08-19,122.81424713134766
641,641,2021-08-20,119.45719146728516
642,642,2021-08-23,120.74763488769533
643,643,2021-08-24,120.10726165771484
644,644,2021-08-25,120.29161071777344
645,645,2021-08-26,115.70233154296876
646,646,2021-08-27,115.35302734375
647,647,2021-08-30,114.95523834228516
648,648,2021-08-31,114.87761688232422
649,649,2021-09-01,114.03348541259766
650,650,2021-09-02,113.48045349121094
651,651,2021-09-03,112.2209014892578
652,652,2021-09-07,111.38445281982422
653,653,2021-09-08,111.12185668945312
654,654,2021-09-09,111.14130401611328
655,655,2021-09-10,109.72127532958984
656,656,2021-09-13,110.44103240966795
657,657,2021-09-14,109.34196472167967
658,658,2021-09-15,109.81854248046876
659,659,2021-09-16,110.53827667236328
660,660,2021-09-17,111.48172760009766
661,661,2021-09-20,110.0325164794922
662,662,2021-09-21,110.7133560180664
663,663,2021-09-22,111.0634994506836
664,664,2021-09-23,112.39598846435548
665,665,2021-09-24,112.814208984375
666,666,2021-09-27,113.4075164794922
667,667,2021-09-28,111.41364288330078
668,668,2021-09-29,111.82213592529295
669,669,2021-09-30,105.86971282958984
670,670,2021-10-01,108.0483627319336
671,671,2021-10-04,107.19245910644533
672,672,2021-10-05,105.35420989990234
673,673,2021-10-06,102.98101806640624
674,674,2021-10-07,104.95545196533205
675,675,2021-10-08,104.91654205322266
676,676,2021-10-11,102.65033721923828
677,677,2021-10-12,103.2922592163086
678,678,2021-10-13,103.72020721435548
679,679,2021-10-14,105.17914581298828
680,680,2021-10-15,105.73353576660156
681,681,2021-10-18,106.5019073486328
682,682,2021-10-19,105.68490600585938
683,683,2021-10-20,106.2003936767578
684,684,2021-10-21,107.67877197265624
685,685,2021-10-22,107.3675537109375
686,686,2021-10-25,110.02278900146484
687,687,2021-10-26,110.74252319335938
688,688,2021-10-27,107.63015747070312
689,689,2021-10-28,109.87689208984376
690,690,2021-10-29,110.10059356689452
691,691,2021-11-01,110.888427734375
692,692,2021-11-02,111.40391540527344
693,693,2021-11-03,114.11753845214844
694,694,2021-11-04,114.37039947509766
695,695,2021-11-05,116.37401580810548
696,696,2021-11-08,115.3722152709961
697,697,2021-11-09,116.00440216064452
698,698,2021-11-10,115.42082977294922
699,699,2021-11-11,112.30845642089844
700,700,2021-11-12,112.33763122558594
701,701,2021-11-15,112.28899383544922
702,702,2021-11-16,111.87076568603516
703,703,2021-11-17,113.32969665527344
704,704,2021-11-18,116.24756622314452
705,705,2021-11-19,109.69210052490234
706,706,2021-11-22,108.1261749267578
707,707,2021-11-23,112.26953887939452
708,708,2021-11-24,112.34734344482422
709,709,2021-11-26,106.9979476928711
710,710,2021-11-29,108.6027603149414
711,711,2021-11-30,106.1031265258789
712,712,2021-12-01,101.9986801147461
713,713,2021-12-02,107.53288269042967
714,714,2021-12-03,107.17301177978516
715,715,2021-12-06,109.87903594970705
716,716,2021-12-07,110.28858184814452
717,717,2021-12-08,110.31783294677734
718,718,2021-12-09,109.73275756835938
719,719,2021-12-10,110.05455780029295
720,720,2021-12-13,106.95361328125
721,721,2021-12-14,106.87559509277344
722,722,2021-12-15,106.11498260498048
723,723,2021-12-16,106.55379486083984
724,724,2021-12-17,105.38362884521484
725,725,2021-12-20,103.22855377197266
726,726,2021-12-21,105.85169982910156
