,Unnamed: 0.1,Unnamed: 0,Date,CCI,CCI_6m,CCI_12m
586,586,586,2021-06-03,174.00119018554688,168.01100158691406,162.47610473632812
587,587,587,2021-06-04,175.6081085205078,168.1627655029297,163.1635284423828
588,588,588,2021-06-07,176.79544067382812,168.9751434326172,162.3422088623047
589,589,589,2021-06-08,175.2242431640625,169.17153930664062,165.55599975585938
590,590,590,2021-06-09,175.9473419189453,170.97488403320312,165.64529418945312
591,591,591,2021-06-10,178.75942993164062,174.3582763671875,166.2612762451172
592,592,592,2021-06-11,174.65237426757812,174.00119018554688,168.01100158691406
593,593,593,2021-06-14,177.11483764648438,175.6081085205078,168.1627655029297
594,594,594,2021-06-15,175.70384216308594,176.79544067382812,168.9751434326172
595,595,595,2021-06-16,174.30191040039062,175.2242431640625,169.17153930664062
596,596,596,2021-06-17,176.9171142578125,175.9473419189453,170.97488403320312
597,597,597,2021-06-18,174.56253051757812,178.75942993164062,174.3582763671875
598,598,598,2021-06-21,177.62705993652344,174.65237426757812,174.00119018554688
599,599,599,2021-06-22,177.15074157714844,177.11483764648438,175.6081085205078
600,600,600,2021-06-23,176.15321350097656,175.70384216308594,176.79544067382812
601,601,601,2021-06-24,176.081298828125,174.30191040039062,175.2242431640625
602,602,602,2021-06-25,176.6205596923828,176.9171142578125,175.9473419189453
603,603,603,2021-06-28,177.9685821533203,174.56253051757812,178.75942993164062
604,604,604,2021-06-29,177.35745239257812,177.62705993652344,174.65237426757812
605,605,605,2021-06-30,175.33541870117188,177.15074157714844,177.11483764648438
606,606,606,2021-07-01,174.97592163085938,176.15321350097656,175.70384216308594
607,607,607,2021-07-02,177.03395080566406,176.081298828125,174.30191040039062
608,608,608,2021-07-06,179.40650939941406,176.6205596923828,176.9171142578125
609,609,609,2021-07-07,180.4849395751953,177.9685821533203,174.56253051757812
610,610,610,2021-07-08,180.4040679931641,177.35745239257812,177.62705993652344
611,611,611,2021-07-09,181.2847595214844,175.33541870117188,177.15074157714844
612,612,612,2021-07-12,182.50698852539065,174.97592163085938,176.15321350097656
613,613,613,2021-07-13,180.08950805664062,177.03395080566406,176.081298828125
614,614,614,2021-07-14,181.446533203125,179.40650939941406,176.6205596923828
615,615,615,2021-07-15,181.68917846679688,180.4849395751953,177.9685821533203
616,616,616,2021-07-16,182.533935546875,180.4040679931641,177.35745239257812
617,617,617,2021-07-19,181.56333923339844,181.2847595214844,175.33541870117188
618,618,618,2021-07-20,182.68673706054688,182.50698852539065,174.97592163085938
619,619,619,2021-07-21,180.72755432128903,180.08950805664062,177.03395080566406
620,620,620,2021-07-22,172.576416015625,181.446533203125,179.40650939941406
621,621,621,2021-07-23,173.8525390625,181.68917846679688,180.4849395751953
622,622,622,2021-07-26,172.76513671875,182.533935546875,180.4040679931641
623,623,623,2021-07-27,174.85011291503906,181.56333923339844,181.2847595214844
624,624,624,2021-07-28,173.38523864746094,182.68673706054688,182.50698852539065
625,625,625,2021-07-29,173.286376953125,180.72755432128903,180.08950805664062
626,626,626,2021-07-30,173.5290069580078,172.576416015625,181.446533203125
627,627,627,2021-08-02,173.5469970703125,173.8525390625,181.68917846679688
628,628,628,2021-08-03,175.038818359375,172.76513671875,182.533935546875
629,629,629,2021-08-04,175.37135314941406,174.85011291503906,181.56333923339844
630,630,630,2021-08-05,174.76025390625,173.38523864746094,182.68673706054688
631,631,631,2021-08-06,175.06581115722656,173.286376953125,180.72755432128903
632,632,632,2021-08-09,174.5445556640625,173.5290069580078,172.576416015625
633,633,633,2021-08-10,171.623779296875,173.5469970703125,173.8525390625
634,634,634,2021-08-11,172.50450134277344,175.038818359375,172.76513671875
635,635,635,2021-08-12,173.72671508789062,175.37135314941406,174.85011291503906
636,636,636,2021-08-13,175.0478057861328,174.76025390625,173.38523864746094
637,637,637,2021-08-16,175.20957946777344,175.06581115722656,173.286376953125
638,638,638,2021-08-17,176.8991241455078,174.5445556640625,173.5290069580078
639,639,639,2021-08-18,174.40078735351562,171.623779296875,173.5469970703125
640,640,640,2021-08-19,177.86073303222656,172.50450134277344,175.038818359375
641,641,641,2021-08-20,177.98655700683594,173.72671508789062,175.37135314941406
642,642,642,2021-08-23,176.10829162597656,175.0478057861328,174.76025390625
643,643,643,2021-08-24,173.0257568359375,175.20957946777344,175.06581115722656
644,644,644,2021-08-25,171.02166748046875,176.8991241455078,174.5445556640625
645,645,645,2021-08-26,170.50942993164062,174.40078735351562,171.623779296875
646,646,646,2021-08-27,171.623779296875,177.86073303222656,172.50450134277344
647,647,647,2021-08-30,172.8280487060547,177.98655700683594,173.72671508789062
648,648,648,2021-08-31,174.9669647216797,176.10829162597656,175.0478057861328
649,649,649,2021-09-01,177.89666748046875,173.0257568359375,175.20957946777344
650,650,650,2021-09-02,177.85174560546875,171.02166748046875,176.8991241455078
